id_ref,phase,start,end,path,description,en,is,image
90,S4.4,1800,1840,,"In this phase the structure underwent a clear internal re-organization of its space; the original three roomed chamber was changed into just two rooms. This must have occurred prior to 1836, when a plan from this date shows such a configuration and in fact probably occurred soon after the earthquake of 1784. The separation between the two rooms is marked by a noticeable change in the floor composition and remains of a probable wooden sill beam (in floor [238] of the eastern part). The eastern room [825] had a floor of decomposed organic material [093/238] including hay, twigs and wood chips in three major lenses over some partial turf levelling ([357], [426]). The western room [826] had more extensive turf levelling [425] covered by an ash floor [306]/[307]. The drain [499] running through the centre of the structure appears to have been covered by these floors and had become more or less defunct. Based on the 1836 map, the eastern room is marked as a pantry and the western room as a kitchen. The kitchen had a fireplace in the northeastern corner; some stones associated with [306] could mark its location but this is only speculative. No upper storey is shown on the 1836 plan which suggests it must have gone by this point. All the dateable finds from this phase come from the latter half of the 18th century with a TPQ of 1740/1750; these are likely to be residual.",Pantry/Kitchen,búr/eldhús,t
91,S5.5,1800,1830,,"Sometime in the early 19th century it was likely that the original access onto the corridor (Structure VII) at the western end was re-opened. Fresh deposits of turf ([572], [772], [773]; also [521], [537]) seem to mark this event and may even indicate a solid turf wall; these layers give a TPQ of c.1800. Certainly the floor stops much further to the east than earlier suggesting the building was shortened to c. 10m. At the same time, the passage/door way [505] on the south wall was blocked off ([332]/[478]). It is possible drain [264] had gone out of use at this time or least stopped functioning efficiently. The internal arrangement of the building was also probably altered; there was a clear distinction between the eastern end and the west. The western area [908] was levelled with turf ([248] [252], [257], [323]) and then laid with flagstones ([176], [167]) while the eastern end [912] had a thick accumulation of organic matter/dung [083]. The latter could simply indicate a turf levelling layer over which wooden floors may have been laid. There is no archival information on the use of the rooms for this period, but the previous functions may have continued, i.e. pantry to the west and study/library to the east. Finds from the flagstones gave a TPQ of 1820. Ash deposits ([68], [244], [298]) had been deposited over the flagstones along the southern and eastern edges of room [908].",Pantry/Study & Library,búr/daglegtsetukamers & bókakamers,t
92,S6.3,1800,1890,,"Sometime at the turn of the century, the structure underwent major modifications, probably in the wake of the earthquake damage. On the 1836 plan, a long passage connected a small chamber labelled as the miller’s workshop to the corridor, implying most of the former structure VI was now infilled with wall material. Above this room was a loft (aligned north-south) which ran double the length of the room below (i.e. across the northern wall). It was fitted with eight beds, four on each side with access via stairs/ladder at the northwest corner of the ground floor room. The archaeological remains of this phase probably incorporate more than one period of building activity but they are too fragmentary to disentangle. In general though, the use of the structure now seems confined to just the small room [2214]. The drain [1198] was infilled with turf [1173] along the east-west section (a TPQ from this fill gave a date of c. 1840) while the base of a substantial turf/earth wall [1161] seems to have been built infilling most of the eastern room [949] except for a narrow strip along the south side. This strip, c.1.2m wide  – presumably the passage – was covered in distinctly different turf levelling layer [1921]. A TPQ from the wall infill gave a date of c. 1830. The main southern wall of the structure was re-built ([1918]). The wall (and its predecessor) has clearly been disturbed ([1705]/[1758]) by subsequent levelling of the area. In addition, a new stone and turf/earthen wall ([2233]/[2112]/[2134]/[2145]) was constructed along the western end of the south side. All of these walls were badly disturbed. There was however still a gap between the two new southern walls, creating a space for a small room, c.2.6m wide and 4.5m deep. The interior of the room was laid with turf levelling and flagstones [1353] over which lay an ash floor [1336]. The TPQ from this floor returned a date of c. 1700/1710 but most of this material must be residual.   Almost nothing survives of the western part of this building but the 1836 plan shows a garden occupying this area; nothing of this was identified. However, along the front of the structure, i.e along the south side, was raised pavement marked by a turf platform and kerbstones [1670]/[1672], [1902]), separating the structure from the yard to the south. It probably represents a repair/re-build of the earlier kerb [2040]  and seems to have been stepped. Its western extent is uncertain but may have been truncated. A small ash dump [1908] lay over this.  The abandonment of the structure is marked by collapse structural deposits [1344] infilling the chamber. A number of layers of disorganized structural material (turf and stone, sometimes mixed with ash) clustered outside and around the western end ([2245], [2253], [2282], [2284], [2302]) and southern side of the structure ([1647], [1760], [2248], [2275], [2283], [2286]). These probably represent remains of the walls from both earlier and later phases, as a lot of earlier finds are incorporated into their matrix. However, depositionally, they belong to the final abandonment of the structure. No further structures appear to have been built on this location. ",Bishops Living Quarters,Biskups baðstofa,t
93,S7.3,1800,1840,,"The corridor continued in use into the 19th century without much modification, although the upper deposits are much more disturbed. An upper drain fill [1226]/[1406] of the main drain [1287] was sealed by disturbed/collapsed drain stones ([1203]/[1565]), the fill of which gave a TPQ of c. 1830. All the drains in the adjacent rooms seem to have gone out of use early in the 19th century and the same probably applies here; if the drain was still in use, it functioned poorly and was probably never cleaned out and probably became defunct during this phase. Associated with this were a series of disturbed floor deposits of flagstones and ash ([1181], [1158], [1172], [1176], [1192], [1239], [1246]) which all had 19th century finds, one of which returned a TPQ of c. 1840. Turf and flagstone floor deposits ([1255], [1548], [1555]) at the entrance to the corridor returned a similar TPQ of 1830. A fairly extensive layer of flagstones and turf levelling mixed with ash ([1035], [1052], [992], [1402], [1384]/[1385], [1444], [1445]) covered almost the full length of the corridor and gave a TPQ of c. 1840. These seal the sill stones [1452] associated with Structure III.  The 1836 plan shows a single, undivided corridor as in the 1784 plan.",Vestibule & Corridor,göng,t
94,S8.3,1800,1850,,"The last phase of activity in this structure is almost all confined to the central aisle [1227]. The doorway into the main axial corridor was sealed with a blocking wall [465], which returned a TPQ of 1767 and the western wall was re-built completely and set back by c. 1m at the northern end making the room much wider here, to c. 4.1 m wide. At the south end, the structure appears to have been the same width, making the shape of the building slightly trapezoidal. In the centre of the aisle, along its south side, a small pit [324] was dug. The cut [326] was very shallow at only 0.2m deep, but 0.7m wide and 0.95m long with a narrower extension of c. 0.5m at the southeast side. It had a small, narrow projection at the south-eastern corner. No traces of lining or original fill of the pit was identified, but it was possibly some kind of dug-down box or root cellar, perhaps for storing vegetables (e.g. potatoes). The pit was backfilled with mixed soil [325]. Some layers of turf levelling ([77]/[237], [303], [305], [341]) had been laid on the floor and a narrow deposit of peatash [310] survived along the north side of the aisle, most of it truncated by an excavation trench from the 1980s. The finds from these layers are generally late 18th century, but include early 19th century material as well, especially in the backfill of the pit. Based on the plan from 1784 which shows a passage still entering the main axial corridor to the east, this phase must post-date that; moreover there is some resemblance to a set of outhouses depicted on the 1836 map, which shows a similar, three-roomed structure in an enclosed garden area. It is not known where the entrance to this structure may have been at this time, but if there was a gable at the south, possibly there could have been a door there, although a painting by Mayer from 1836 appears to show this building with the door still in the western wall. If there was a door here, it must have involved a step up out of the building as the surviving lower course of stones on the western wall is continuous. This is not entirely implausible as the demolition of structure IX to the west will have raised the ground level outside the house.   The abandonment of the building is marked by multiple, disorganized turf and stone deposits representing the collapse/demolition of walls and roof. The surface of structure was overlain by sections of the west wall collapsing inward ([66]/[270]) and then an upper deposit of more structural debris both in the building ([49]/[269]) and over the east wall [463]. These collapse layers had a lot of 18th century finds, but a TPQ from the wall collapse gave a date of c. 1820. If this structure is indeed that shown on the 1837 plan, its abandonment probably dates to the mid (or even later) 19th century.",Nursery/Private Chambers,barnhús/prestakamers,t
95,S9.2,1800,1880,,"There are only very ephemeral traces of this structure surviving and they was not even properly identified in the field as remains of a building but only later during post-excavation analysis of the records. Only parts of the northern end and middle remain; all traces of the southern end seem to have been completely erased by subsequent levelling. What remains of the building is defined by a section of the northern wall ([381], [403]). Of these two sections, wall fragment [381] is probably a later rebuild, blocking a probable passage [505] connecting this structure with Structure V to the north (see Structure V, S5.3). Beneath wall [381] were a series of mixed turf and stone deposits ([1299]: [370], [1407], [1413]) which may represent debris from remodelling of this north wall. A TPQ of 1775 was associated with the earliest of these layers, which went beneath [381], dated to c. 1800.  The width of the structure is hard to ascertain as there seem to be multiple phases including a possible shifting of the eastern wall; an estimate would suggest it was probably originally c. 3.2m wide and c. 8.3m long, comparable to the adjacent structure VIII. A wide passage connects the two structures, defined by a disturbed flagstone floor [309], which was flanked by a turf and stone wall to the south [378]. A TPQ for this flagstone floor returned a date of 1739. The northern side is unclear; smaller flagstones forming a paving surface ([274]/[1459]) lay north of the main passage floor, separated by turf deposit [287]. These may be an earlier/ later section of the passage, indicating it size or position had changed. The passage continues west for 8m, although its middle section has all been truncated. The western end of the passage and the northern chamber were similarly covered in flagstones over turf levelling [175], which were associated with a TPQ of 1753. Traces of earlier floors ([240], [260], [275]) in the northern half survived, but only close to the wall; a TPQ of c.1750 was associated with one of these deposits. The stones in the earlier floor suggest the structure might originally have been on a slightly different alignment.  This structure is the new house mentioned in the 1744 inventory which was built over the Miðbadstofa (Structure XI). It was divided into two rooms, both with wooden panelling and floors and a separate stairway to an upper level, which was also divided into two rooms. Each room had a lockable door, a new one for the south room and an older/re-used door for the northern chamber. Overall it was eight bays long and had nine glass windows. In each of the two rooms downstairs was a bed, with a round table in the south room and a square table in north room. There was one bed upstairs. It is described as all well made and new. There was a door ready for the south room in the loft but not yet installed. In 1747, the house is similar but now has a chimney and oven and with shutters added to four of the windows. In 1759, it seems to have lost one bay as it is now only seven bays long, but is otherwise the same except for an extra bed in the loft. It is starting to look worn. In 1764, the building is being called the New House (Nya Husid) despite now being over twenty years old. There are no substantial changes except the loft now had five beds, presumably the beds in the downstairs rooms having now been moved upstairs. The aisle between the two rooms also now seems to have a loft over it with a bed and locked door. One addition however is the construction of a passage linking this building to the Dining Room in the Bishop‘s wing (Structure V).  On the 1784 plan, this building is depicted as parallel to adjacent Structure VIII, where there is a single, joint corridor running through the middle of both buildings; this connection probably happened after 1764 as no mention is made of a connection between these buildings in the 1764 inventory where the buildings also occur in very different places in the order of description. Moreover, no passage exists connecting this and Structure V on the 1784 map, suggesting this passage had been removed by this time. The building does not seem to have been severely damaged by the 1784 earthquake, and no mention of it occurs in the 1784 report but in one from 1785 it is is described as being in usable condition. Significantly in the 1785 report, the building (called the Miðbaðstofa) is described immediately after the Nursery (Barnhusid), implying their connection. The abandonment of the building is marked by several, widely spread demolition layers ([166], [177], [236], [246], [294], [392]) which have probably also been mixed by later levelling. A small patch of peatash [375] lies under one of these layers and probably is associated with the 19th century farm. It is possible – based on the 1837 plan – that the southern part of this structure was re-built as an outhouse, but since nothing of this section survives it must remain only an educated guess.",Living Quarters,Miðbaðdstofa,
96,S10.4,1800,1880,,"The walls and interior dimensions of the building remained the same, although some repairs occurred along the northern face of the north wall ([1437], [1254], [1454]/[1715], [1890], [1931], [2105], [2110]). What is probably repair debris was excavated along the external north face of the wall ([1936], [1942], [1947], [1924], [1920], [1964], [1965]). A TPQ of 1730/40 was associated with this debris. The main changes involved re-surfacing the floor and re-building the drain. On the eastern side of the structure, the whole floor and eastern drain were sealed with a turf layer [1688] while over that lay an accumulated deposit of turf mixed with charcoal and peatash [1535]. On the western side of the structure, a more confined turf patch layer [1828] sealed the western arm of the drain while a more extensive turf layer with some mixed charocal [1546] covered the earlier floor. Scattered flagstones occurred in the floors, most extensively at the western side close to the wall. The TPQ from these floors gave dates of 1758/1760. The central section of the original drain was cleaned [1166] and completely re-built ([1500]. The sidestones (1165/2244], [2043]) were re-set or repaired within the old cut and filled by primary drain silts [1213] (which we excavated in segments). A TPQ of 1767 was associated with this primary drain fill, but it appears as if the drain was soon after laid with a flagstone base [1189], over which further fills accumulated (secondary: [1179]/[1952]; tertiary: [1164]/[1951]. The TPQ from these secondary deposits returned a date of c. 1800. The only other feature in the building was a small, shallow bowl-shaped pit [1537] marked by a circular cut [1539] 60cm in diameter and 12cm deep set dead centre in the eastern side of the building. Inside was a fill [1538] of floor material. Given the profile of the pit, it is unlikely to be a barrel pit – it may simply mark the removal of a large stone or even a stone feature such as an oven.  There is no mention of the kitchen in the 1764, but many other buildings are also omitted for some reason. It is however listed in the damages to buildings after the earthquake of 1784 where is it described as having fallen down and the chimney being cracked. The plan from 1784 shows the building with an entrance placed centrally on the north side, although no chimneys/ovens are marked in.  The abandonment of the building is marked by several collapse/demolition deposits from the walls/roof, most of them extending north of the building ([1839], [1485], [1465], [1466], [1247], [1241], [2115], [1207], [621], [586], [576], [347/614], [289], [282]), though some lay over the north wall itself ([1127], [1128], [1129], [1118], and some were extensively spread north of the structure ([1443/623], [1486]). A TPQ from these latter deposits returned a date of c. 1870, while a TPQ of 1820/1830 was associated with the deposits closer to the north wall. These numerous deposits of structural debris probably represent a long-term process of weathering and possibly even traces other building activities no longer visible. Some other turf layers extended over the eastern end of the building ([1108], [1104], [172]), but at the western end the ground had been levelled to just above the floor level from the previous phase. It is likely that a lot of material has been truncated over this structure – possibly even a later phase of the building. The 1837 plan shows an outhouse which could be in this location, but no evidence of any 19th century features survived except perhaps a short segment of wall [1889]. The only indication of activity was some early 19th century material in the abandonment deposits infilling the top of the drain ([1159]/[1501], [1150]), which gave a TPQ of c. 1800.",Kitchen,Eldhús,
97,S13.3,1800,1830,,"In the last phase of use of this corridor a well-constructed blocking wall [554], stone faced on both sides, was constructed two-thirds down the corrider, just north of the entrance into Structure VIII. This effectively divided the corridor into two sections, a northern side [30] and southern side [315]. Given that no such blocking is depicted on the 1784 map, it most likely post-dates this. No good dating was associated with this wall, just a broadly 18th century date. It is unclear if the northern section of the corridor was even roofed at this point but possibly not; within was a layer of what is probably collpased roof stone or debris from robbing the flagstone floor ([646], [608], [446], [158]) with a TPQ of 1767, and was sealed by a dark organic layer composed primarily of hay [148]. It is possible the corridor was used to store hay or even for silage. A photograph taken over a century later in 1924 seems to show a linear haystack capped with turf (a common practice); but what is uncanny is that it seems to lie along the route of this corridor. It is possible this space was used over a long period to store hay.    No comparable layers were identified on the southern side [315] of the blocking wall, rather  there were a series of turf debris dumps ([479], [449], [321], [320], [314], [299], [296], [259], [258], [251], [250]) and some peatash layers ([304], [313], [327], [355], [606]). These are broadly contemporary with the blocking wall [454] inserted in the final occupation phase of Structure VIII (S8.3); they are also contemporary with similar dumps which are continuous across Structures  XVII and XVIII (see phases S17.8 and S18.8; [1304], [1316], [1321], [1322]), but where peatash was far more predominant.",Main Corridor,Göng,t
98,S14.2,1800,1800,,"The passage [1269] into the cathedral was largely excavated by Kristján Eldjárn in the 1950s where two phases were identified, an earlier dated to the mid-15th century and a later one from the mid 17th century. The earlier one was associated with a drain, though Eldjárn thought the drain could still have functioned while the upper phase floor was in use. A section of the southern end of the passage survived beneath the modern reconstruction but it is somewhat unclear how this relates to Eldjárn‘s two phases. In terms of elevation and the presence of the drain, it would seem to relate to his earlier phase floor (i.e. Gólf II). However, this raises questions over Eldjárn‘s dating of the earlier phase excavated in the 1950s. Indeed, the recovery of clay pipes and vessel glass from the earlier phase might suggest that both phases of the passage Eldjárn excavated date after the 1600s. On the other hand, his later phase clearly has the schoolmasters room coming off its western side (see Structure XXX) and this structure we have dated to c. 1670-1750 which fits well with Eldjárn‘s dating for his later, upper phase. The best explanation we can offer here is that there must have been some steps down from the end of the long passage as it entered the school, accounting for the difference in elevation. The drain may still have linked up with Eldjárn‘s earlier phase as Eldjárn coinsidered the drain could well have functioned into the later phase while the 17th century finds associated with the earlier phase could simply relate to the final phase of activity.  What survived in our excavations consisted of a section of the western wall [1099/1080] and parts of a flagstone floor/capping [1149] over a drain [1280], composed of sidestones [1153] and fill [1151]. The drain would have probably turned to join the drain [1117] in passage [106], which in turn fed into the main drain of the corridor [751] (see Structure XIII). Most of this passage, as it survived within our excavation area, had been truncated by the haybarn (Structure II). No dating came from any of these layers. In terms of elevation though, it is probably contemporary with the re-building of the main axial corridor and the re-building of the school dormitory from the mid 18th century.  In the 1674 inventory, this is probably the ‚inner‘ passage to the school dormitory which is described as two bays long; it adjoins the under-passage to the church which was excavated in the 1950s. It gets only passing mention in subsequent inventories none of which add any information.  Over the floor and wall of the passage were various disturbed layers ([135], [1069], [1073], [1074], [1121]), associated with finds dated to the second half of the 18th century.",Corridor to Church,undirgöng,
99,S15.3,1800,1850,,"In the later phase, the room was drastically remodelled by reducing its size in half. The southern vat was taken apart and the hole filled with demolition deposits and turf. At the base of the southern vat, there appeared to be a trampled surface consisting of turf [1037] and ashes [1028] sealed by mixed turf and clay [1024], all of which are probably demolition deposits. Several layers of collapsed clay lining and turf infill was then used to seal off the southern cell ([1002], [980], [970], [937], [943], [916]). The northern vat also appears to have been dismantled and re-built; over demolition layers ([1061], [1055]) at the base of the original vat, a new cutting was made [852] c. 2m by 2m, cut down to a depth of c. 0.5m below the floor/base of walls and lined with timber panelling ([820]/[821]) and blue clay [819]. The floor beneath the vat was cobbled/flagged [875].  Associated with the re-modelling were new walls ([855]/[889]/[1124]) around three sides. The sides of the walls are leaning in, especially on the north and western sides suggesting they have been subsequently disturbed, which may also be related to the lack of stones on the northern edge if they had been robbed. Along the southern, eastern and western sides, there were also remains of a ledge or packing ([862]/[851]/[849]) between the sides of the vat and the cut. Essentially, the room was one large vat or tank, made water-tight by the clay and timber and would have been filled with whey which would have been scooped up with a bucket from the passage end. Access to the room, as before, was through a narrow passage [1270], which had a new flagstone floor [714] laid. A wooden beam may mark the location of a threshold/door jamb.  As in the previous phase, closely dateable finds were more or less absent. When this re-modelling occurred is therefore hard to say, as the documentary sources are fragmentary. It clearly post-dates 1759, which is the last description we have of the two-vat building. Certainly on the 1784 plan, only one (northern) vat is shown, which again matches the archaeological data for this phase. In the 1785 report on the condition of buildings after the earthquake it is assessed as being in good condition so presumably did not suffer much.  At the end of its life, the vat was probably taken apart and most of the wood re-used; infilling the room were a series of abandonment deposits: collapsed clay lining [815] sealed by wall/roof collapse [662]. In the passage [1270], a layer of turf [670] also sealed the floor, over a stone blocking [654] was constructed sealing the room off at the entrance from the main corridor into passage [1270]. A Sealing this were a series of layers of turf collapse that filled both the room and passage ([618]/[582]). TPQ from the primary dismantling of the vat gave a date of c. 1800. The uppermost layers of structural material infilling the room are more mixed and disturbed, probably during 19th century activities. These deposits ([506], [535], [534], [487], [495]) had a TPQ of c. 1850.",Wheystore,sýruklefi,
100,S16.2,1800,1800,,"This was a badly preserved room, which has been truncated heavily on its southern half. Only its northern wall and the corner of the eastern wall [2761] survives as well as the northern part of the western wall it shares with the corridor. Its eastern and western walls at least appear to have been c. 1.2m thick. The building is 3.7m wide and the northern half, 2m deep; how far the room extended southward is difficult to say. The 1784 plan shows a room of equal size either side of the door, which would make its southern wall almost overlap the northern wall of the refectory (see Structure XIX; [690]), but there is just enough space to squeeze this structure in if the southern side was slightly shallower.  If so, it would make the building originally c. 4m long. There is a substantial step marked by a turf layer ([661]/[655]) at the entrance and it is possible there would have been a wooden ladder/steps here as there is a height difference of c. 0.25m between this step and the floor of the building. In other words, the floor of this room was much higher than the floor of the main axial corridor. Inside the structure, there were remains of a partially flagged floor [649] in the northwestern corner. There were few dateable finds from the building, some glass vessels returned a TPQ of c. 1650 from the floor, but the building is certainly much later.   This structure is not mentioned in any of the inventories, nor the reports on earthquake damage and nor on the 1745/6 drawing; its only documented existence is from the 1784 map where it is labelled as a store room (geymsluhús/skemma). It is probable it was built around the same time or soon after the wheystore (Structure XV) was reduced in size – although the dating of this is also uncertain. A very approximate date in the third quarter of the 18th century as been assigned to this building.  Upon abandonment, there were only a few patches of turf collapse ([645], [641], [396]) sealing the floor before the ruin was used to dump peatash (see Midden Area B). No close dating is associated with the abandonment of the structure but since it is depicted on the 1784 map, it must post-date then.",Storage Room,geymsluhús/skemma,
101,M.6,1800,1900,,,Ash mound,Kyndluholl,
102,M.7,1800,1900,,,Ash mound,Kyndluholl,
103,MB.1,1800,1830,,,Midden Zone B,Öskuhaugur B,
104,S5.6,1830,1890,,"No in situ structural remains were found of this phase except for perhaps a fragment of wall [028/033] in the southeast corner associated with a TPQ of 1870. Most of what remained consisted of demolition deposits from the earlier phase. These demolition deposits ([41/43], [508], [611]) sealed the floors from the previous phase. Further demolition/collapse deposits lay over the south wall ([434], [486],) and others ([344/863], [896], [1435]) extended southwest from the building and may relate to a later construction/demolition phase as they appear to be sealed by terminal yard surfaces (see Courtyard, C.4). A TPQ of 1872 was associated with one of these dumps, but all have finds which date after the mid-nineteenth century.  A plan of this structure from 1836 shows a small, single room marked as a workshop and flour mill (hand-ground); it had a long narrow passage leading from it to the corridor. Above it aligned east-west was a loft fitted with seven beds arranged around three sides of the room; access was via some steps/ladder at the southwest corner of the ground floor room. It cannot be known if this loft is essentially the same as that constructed originally in the 1720s or whether it has been completely re-built; given the major structural changes seen on the ground floor the latter is more likely. Based on this, one should probably assume that the eastern room [912] continued in use while the western room was infilled except for a narrow passage following the line of the former drain [264]. However, no archaeological evidence of this was found, probably because it had been completely demolished by later levelling. Certainly there were no finds post-dating the mid-19th century associated with this structure and from documentary sources, the area does not seem to have been built on again afterwards.",Workshop/Flour Mill,vinnustofa/mölunarhús,
105,S13.4,1830,1850,,"Sometime in the early nineteenth century the northern entrance to the corridor was deliberately sealed off with a blocking wall ([110]/[146]) which only had one stone face (outer). In the northern section of the corridor [30] and above the hay layer and abutting the blocking wall were multiple turf debris deposits ([051], [072], [076], [089], [091], [119], [120], [129], [131], [133], [134], [138], [140], [144], [147], [150], [151], [155], [156]) interspersed with two major peat ash dumps, a smaller one [141] against the western side and a more substantial spread [079] infilling a section of the ruin at the northern end. Some of the turf collapse however contained lenses of peat ash ([119], [091] and [076]). Another dump of peatash [1307] lay over the western wall of the corridor. The peat-ash dumps suggests the ruin was sporadically used to dump hearth waste during the first decades of the 19th century. The turf debris could represent either continual in situ weathering/collapse of the ruin or deliberate dumping of structural waste from demolition/repairs. Dating from the layers generally tended to be 18th century which may suggest the former (i.e. in situ weathering), and only two (of the uppermost) layers had later nineteenth century finds. Signs of possible stone robbing from a section of the corridor wall were also seen [746].  A map from 1836 does not depict the ruin of the corridor but rather garden beds and open land on the area where the corridor would be. However it is likely there would have been a hollow marking the line of the ruin; a description from 1865 mentions a hollow which is thought to be the subterranean passage to the church (see Structure XIV below), though it could also have been this corridor.",Silo/Midden,öskuhaugur,
106,C.3,1830,1850,,"In the 19th century the drain [1077] was re-built, comprised of a cut [1932], side stones [1564], capstones [1559] and an upper [1683] and lower fill [1741]. The top part of the drain had been disturbed in a middle section ([1645]) and the capstones only survived in situ at the northern end. The fills of the drain were also excavated in 1m segments to control for finds recovery. Dating from material in the sidestones of drain gave a TPQ of 1820 indicating a construction date probably in the second quarter of the nineteenth century. A TPQ of 1820/1830 came from the primary fill, while the upper fill returned a TPQ of c. 1850. The drain largely followed the line of the original drain and may indeed have been mostly a repair rather than a re-build. The main alteration was a shift in the location of the bend of the drain c. 0.4m to the west and north so it is possible that some of the more northern and western sections of this drain actually date to the original construction; certainly some finds date to the 18th century though these could be redeposited.  Associated with this repair/alteration to the drain was a re-surfacing of the yard, at least partially; large, well-laid flagstones [1592] remained in situ at the north end around the entrance to the farmhouse, associated with a TPQ of c. 1850. It is possible similar flagstones extended over the rest of the yard but were robbed, or equally likely, only the area by the entrance was considered important enough to surface with proper flagstones. The area is depicted on both the 1836 plan and on sketches by Auguste Mayer from the same year from the same period which shows a laid, flagstone surface. Along the south side of Structure VI, these flagstones abut/respect a kerb ([1556]/[1588], [1670], [1672], [1902]) which forms the edge of a pavement in front of the building. A small ash dump [1908] lay over this.",Courtyard,hlað,t
107,MB.2,1830,1850,,,Midden Zone B,Öskuhaugur B,
108,S4.5,1840,1890,,"The final phase of this structure sees a major alteration by narrowing its width to 2.8m (north-south) when a new northern wall is constructed [245/109]. The south wall may also have been re-built at this time [856]. Very little remains of the structure in this phase, which has been severely damaged by later levelling; only the eastern end survives intact. The building was possibly still divided into two rooms. The eastern room [825] which is all that survived, had an extensive flagstone floor ([087/178/234]) which extended for c. 3m, with accumulating organic matter primarily of decomposed animal dung ([065/184]) and ash lenses ([060/061], [062], [057/171]). TPQ on these floors give a date of c. 1840-1860. More compact than the earlier floors, at this time – or at least at the end of its period of use, the room may have been used to house livestock. The western room [826] was almost completely levelled, a mixed turf and ash deposit [267] probably representing its disturbed floor smeared with flattened wall material.  The abandonment of the structure is marked by a series of turf/dung deposits ([018]/[173]) and ash dumps ([014]/[169]) inside the structure, again only really surviving at the eastern end. Outside were a series of more substantial deposits of disorganized tuf and stone ([073], [086/239], [104], [105/256], [112], [121], [242]) representing collapse/demolition of the building. They sealed a flagged/cobbled surface [096/241] which is probably contemporary with the structure when it was in use. No further structures lay above this building, rather it seemed to have lay in a gap between the later farmhouses (Structures XXXV and an eastern farmhouse and stable, Structure XXIII).",Pantry/Kitchen,búr/eldhús,t
109,S7.4,1840,1890,,"A substantial turf levelling layer [946]/[911] ran the whole length of the corridor, sealing the flagstone floor from the previous phase. A TPQ from this levelling layer only gave a date of 1820. Above it was a substantial flagstone floor [806] but not a single dateable find was recovered from this floor.   The abandonment of the corridor is marked by deposits infilling the corridor and spreading outside were a series of demolition/collapse deposits composed of disorganized structural material (i.e. turf and stone): [297]/[330], [584], [921], [951], [794], [857/910], [898], [1168], [1020], [1252], [1258]. A TPQ of c. 1865 was associated with one of the primary collapse layers.",Vestibule & Corridor,göng,
110,S29.2,1840,1900,,"In a secondary phase to this building, the northern timber screen wall was re-built with turf/earth and stone as the passage [106] went out of use and was infilled (see Structure XIII, S13.3/4). The new northern wall [111] consisted of coarse stone facing with a turf/earth fill, the stones of which may have derived from robbing [1106] of the drain [1117] in the passage [106]. The building otherwise kept its southern timber gable, east and west walls, and its internal dimensions. The interior floor of the structure was now stone paved [098], including some very large, flat flagstones marking an external paving in front of the building. A TPQ of c.1750 was associated with this paving but the building is clearly much later. It is unclear when this phase starts but it seems possible that this structure represents a re-build after a hiatus; no structure is shown in this location on the 1836 map suggesting the former infirmary had been abandoned by then but probably still visible as a ruin. The re-build in this phase may have converted this ruin into an outhouse such as a storage shed. The date of the infilling from the abandonment of this re-built structure, suggests this new building remained in use for some time into the early 19th century. These two pieces of evidence suggest that this building dates to the second half of the 19th century. This building may even be one of the ‚sheds‘ depicted on a photograph from the end of the nineteenth century.  Infilling the room and spreading out south of the building was turf collapse/debris from the walls and roof ([052], [078], [137], [472], [485], [1116]); a TPQ of 1872 was associated with ceramics from this collapse and generally the finds date to the late nineteenth century. These sealed earlier slopewash/buried soil layers.  Although no substantial trace of it was found, it is clear that above this infill, a later timber and corrugated iron structure was built alongside Structure II (barn), which was probably a sheep byre (see Structure XXIII).",Outhouse,útihús,t
