Field1,Inv No,FindNo,Alternate No,Fibre type,No of Fragments,Measurements in mm unless otherwise stated,Diameter of threads in mm (Warp/Weft),spin (Warp),spin (Weft),Thread count             per cm Warp,Thread count             per cm Weft,Weave,Type,Fulling,Fluffy Weft,Quality of Weave,Relationships/sample/ next steps,Color and Comments,Textile Analysis Reports,Source Document,Page No,Present GAG,<Older find or group no?>,Unit,Context No,Building Phase,Start Date,End Date,Real Date,Period_Date,Attribution
1,SKH05-6929 c,6929,,Wool,2,69.87 x 9.18;1.62; 40.41 x 6.06,0.92 / 1.22,Z2s,S2z,10,9,Tablet Weave & Twill 2/2,ribbon/band,,,fine,,Brown; two fragments in a twill 2/2 fine weave; the smaller fragment is crumpled; both are matted by wear; it is a border of some kind and it looks like it would have been tablet woven because of the size.,,SKH05 ks. 14.docx,62,,,,1527,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH07-15742 b,15742,,Wool,2,39.79x7.83 / 29.01x7.81,0.51 / 0.53,Z2s,Z2s,n/a,n/a,Tablet weaving or imported Ribbon,ribbon/band,,,,,Tan and Yellow?; Weft is hardly visible and the only thing you see is the warp; there is a darker band in the middle and two lighter bands to the sides; too narrow for a thread count.,,Textiles Skalholt 2007 final (1),"136, 137",,,,2872,S23.1,1700,1720,1700-1720,1690-1720,Bishops Living Quarters
1,SKH03-3174,3174,,Wool,3,77.85x20.56 / 81.84x20.49 / 8.71x20.89,0.96 / 0.85,Z2s,s,n/a,n/a,Tablet weaving; bands or ribbons,ribbon/band,,,,all part of same piece,"Dark Brown; almost impossible to see weft threads in tablet weaving given the nature of the weave produced; appear to be bands and ribbons, plain brown and undecorated.",,Textiles Skalholt Analysis sheet 2003 final (1),21,,,,687,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH07-15747 b,15747,,Wool,1,87.85x8.87,0.69 / 0.49,Z2s,Z2s,n/a,n/a,Tablet woven  ribbon,ribbon/band,,,,,"Light Brown; Tablet woven with two plied threads in same direction; it is decorative ribbon; I think this is a local product, not imported, and rather early.",,Textiles Skalholt 2007 final (1),"109, 110",,,,2832,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH07-15731 a,15731,,Wool,1,18.5 cm x 1.4 cm,0.52 / 0.39,Z2s,Z2s,15 ?,8,Tablet woven band,ribbon/band,,,,,Brown.,,Textiles Skalholt 2007 final (1),22,,,,2649,S25.2,1710,1720,1710-1720,1690-1720,Boys Lodge (servants?)
1,SKH06-09680 f,9680,,Wool,1,not stated,0.72 / 0.45,Z2s,z or Z2s,25,9,Tablet woven band or Tabby weave; warp faced;,ribbon/band,,,"fine, very even",,"Brown; fine bands with selvage on the edges; import or could have been made in Iceland, though it is very regular;  warp faced, so the weft is hard to see, which is very diagnostic for tablet weaving.",,"Skalholt,Sept 2014 SKH06 KS 14.docx.docx",14,,,,2215,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH07-19177d,19177,2609,Wool,2,27.90mmx14.31mm/21.40mmx8.33,,z2s,z?,NA,NA,tablet woven band?,ribbon/band,yes,NA,NA,,band there is an additional piece which may or may not be a part of this piece.,,,,,,,2609,S23.2,1720,1720,1720,1720-1750,Bishops Living Quarters
1,SKH05-6928 e,6928,1580,Wool,1,clump of wool,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,clump of wool,,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #1 ADC",21,,,,1580,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6934 a,6934,1581,Wool,9,108.18 x 25.20 x 2.75   /  60.6 x 12.86 x 1.65   /  32.36 x 5.60   /  33.47 x 10.17 x 1.70   /  59.53 x 13.96 x 0.76   /  33.18 x 14.85 x 1.50   /  54.18 x 17.84 x 3.04   /  51.14 x 28.67 x 1.54,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"Brown; 9 clumps fine brown wool fiber with some dirt, from inner coat? Saw only one coarse dark fiber, not spun but the fibers are loosely aligned.",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #3 ADC",13,,,,1581,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6946 e,6946,1578,Wool,4,clumps of wool 30.85 x 24.22   /  20.49 x 10.22   /  27.98 x 20.69   /  24.84 x 6.68,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"4 flattened-looking clumps of wool; one is composed of fine, well carded light brown fibers, one is composed of coarser brown and black fibers; one is composed of fine light brown fibers and there is a ghost of a flattened strand of Light Brown z2s yarn i",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",1,,,,1578,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6946 i,6946,1578,Wool,1,53.87 x 9.74  (overall),n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"1 group of long, relatively straight dark slender brown fibers (about 0.17 mm wide) most of which are aligned, though there are some that are intermingled that appear to be S2z plied for a short distance; are they coarse dark wool that has been carded so",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",2,,,,1578,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6947 a,6947,1576,Wool,3,29.60 x 14.05   /  26.11 x 7.53   /  49.42 x 4.45,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"3 clumps of fine brown wool fibers that are aligned but do not show signs of having been spun, though one of them does narrow down to a fine point on one end.",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #3 ADC",18,,,,1576,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6947 b,6947,1576,Wool,1,44.36 x 26.77,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"1 clump of darker brown fibers that are coarser than the ones in A, above, and are also much straighter and smoother.  They resemble the fibers in SKH05<6994>[1329], except they are not as well aligned. Outer coat of sheep? Some other type of animal?",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #3 ADC",18,,,,1576,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 b,6952,1506,Wool,1,s spun and z spun yarn 43.80 x 5.55,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,three strands of light brown fine s-spun wool yarn stuck together with one strand of z spun light brown fine wool; diameter of strands: 1.34 mm,,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 c,6952,1506,Wool,1,32.37 x 10.58,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"1 bunch of fine Black wool fiber, no apparent spin; includes dirt clods",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 d,6952,1506,Wool,1,18.53 x 24.95,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"1 bunch of fine light brown wool fiber, no apparent spin except there may be a very short spun or plied section in the center",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 e,6952,1506,Wool,1,s spun fiber 35.75 x 23.86,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"2 lengths of twisted and flattened fine light brown wool fiber – in some areas it is s spun – in others, the spin has come out of the fibers",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 f,6952,1506,Wool,1,s spun fiber 42.36 x 2.18,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,1 length of s spun light brown fine wool fiber that is coming unspun at both ends.,,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 g,6952,1506,Wool,1,25.45 x 7.84,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,1 bunch of light brown fine wool fibers that are somewhat aligned (naturally?)  with no apparent spin stuck to 1 length of fine reddish brown Z2s yarn that is about 0.72 mm in diameter.],,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 h,6952,1506,Wool,1,20.47 x 6.19,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,1 bunch of fine light brown wool fibers that do not have any apparent spin.,,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6952 i,6952,1506,Wool,1,31.13 x 3.24,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,1 length of fine dark brown wool fibers that are generally aligned and in some places some of the fibers (but not all) appear to have a z spin.,,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",6,,,,1506,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6953,6953,1568,Wool,6,n/a,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,six clumps of wool no photo no dynoscope,,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #1 ADC",20,,,,1568,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
1,SKH05-6986 b,6986,1507,Wool,2,54.69 x 35.71   /  39.15 x 18.05,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"Black; 2 clumps of fine, black fiber, not aligned, one clump includes 6 or so lengths of straight black fiber of the kind described in SKH05<6986>[1507]",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",13,,,,1507,S19.1,1730,1770,1730-1770,1720-1780,School Refectory
1,SKH05-6992 a,6992,1568,Wool,8,50.65 x 36.98 x 2.45   /  32.74 x 17.77 x 4.05   /  26.72 x 18.64 x 3.35   /  15.71 x 13.07 x 3.62   /  13.83 x 12.37 x 4.16   /  29.66  12.41 x 2.95   /  19.22 x 9.86 x 1.12   /  18.31 x 8.43 x 0.89,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"Brown, Black; 8 clumps of fine wool fiber, only a few coarse black fibers, not spun but the fibers are loosely aligned.",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #3 ADC",12,,,,1568,S11.1,1690,1720,1690-1720,1690-1720,Living Quarters
1,SKH06-64-9807 f,9807,,Wool,1,68.11  x 94. 86,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"Spinners waste consisting of plied yarns, clumps of wool along with some spun yarn that doesn’t look like wool but some cellulose fibre. NO analysis only photo except for this weird stuff that was dynoscoped.",,"Textiles, Laboratory Work sheet",15,,,,2464,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH06-64-9822,9822,,Wool,2,28.15 x 21.85  /  18.53  x 4.19,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,No dyno.,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","10, 11",,,,2481,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
1,SKH06-64-9823 i,9823,,Wool,1,80.14 x 70.49,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,"Scraps of wool, desiccated weaves and plied yarns, no analysis no dyno only photo",,"Textiles, Laboratory Work sheet",5,,,,2495,S17.5,1720,1750,1720-1750,1720-1750,Meat Store
1,SKH06-9838 k,9838,2471,Wool,1,74.72 x 57.04,n/a,n/a,n/a,n/a,n/a,Textile Waste,waste,,,,,Includes several plied yarns.,,"Textiles, Laboratory Work sheet",19,,,,2471,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH04-4164,4164,,Wool,1,54.63 x 0.93,0.93,n/a,n/a,n/a,n/a,Thread,thread,,,,,Black; this is a single spun thread that is plied Z2s; thin and tightly spun.,,SKH04 ks. 1.docx,18,,,,988,S30.1,1670,1720,1670-1720,1660-1720,School Master's House
1,SKH04-4181,4181,,Wool,2,137.99 x 1.60; 133.87 x 1.23,1.23 and 1.60,z,n/a,n/a,n/a,Threads,thread,,,,,Dark Brown; two tightly spun (z) threads.,,SKH04 ks. 1.docx,20,,,,1022,S21.1,1650,1690,1650-1690,1630-1690,School Room
1,SKH04-4240 a,4240,,Wool,1,102.84 x 48.19,0.96,Z2s,n/a,n/a,n/a,Threads,thread,,,,,Dark Brown; this is a bunch of plied spun threads in z2s; they are in a dark brown colored wool and seem to be stuck together on to what appears to be a stone; at the top they are all fulled and stuck together; there are some iron remains on it; finely sp,,SKH04 ks 2 cont.2,14,,,,860,C.4,1850,1890,1850-1890,1840-1900,Courtyard
1,SKH04-4248 e,4248,,Wool,1,53.41 x 5.11,1.7,s,n/a,n/a,n/a,Threads,thread,,,,,Dark Brown; two s spun threads that are stuck together; bulky.,,SKH04 ks. 2.docx,13,,,,1011,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH04-4253 a,4253,,Wool,1,7.5 cm x 0.54,0.54,n/a,n/a,n/a,n/a,Threads,thread,,,,,"Brown; these are a group of straight threads spun in z that are lying together in a bundle; there seems to be iron remains in at least two places; the fibers are fine; the longest fiber visible measures about 7,5cm long and the shortest visible measures a",,SKH04 ks.2 cont.docx,5,,,,1208,S3.1,1760,1880,1760-1880,1750-1900,Pantry/Stores
1,SKH04-4260 d,4260,,Wool,2,115.10 x 6.70; 67.21 x 30.32,n/a,n/a,n/a,n/a,n/a,Threads,thread,,,,,Dark Brown; these are like two bundles of plied threads; one is long and has at least s2z; plied thread wound up together with a z spun one; the other fragment is a similar but it is wider and appears to have z spun threads up and down but no weave is dis,,SKH04 ks. 2.docx,52,,,,892,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH05-6913 r,6913,,Wool,1,64.48 x 20.42 (bundle of spun threads) 17.69 x 0.78 smallest thread; 50.64 x 1.03 largest thread.,1.24,n/a,n/a,n/a,n/a,Threads,thread,,,,,"Brown;  this is a bunch of single spun threads in s, some light brown and other a little bit darker; the threads are in different diameter and look worn and some like they have been in a weave at some point.",,SKH05 ks. 14.docx,33,,,,1346,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH04-4152 m,4152,,Wool,1,139.35mmx119.78mm,?,Z2s,?,?,?,Twill,twill,y,,"Import, very fine",,"Dark Brown; fine twill, possibly an import; so finely finished that it is a it like velvet; no weave visible but it was possible to detect some plied yarns in the warp system; Not sure if this is Icelandic or Icelandic cloth that was finished in Europe be",,Skalholt final numbers April 2016,25,,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH04-4152 p,4152,,Wool,1,85.82mmx 22.82mm,?,z,s,?,?,Twill,twill,y,,"Import, very fine",,"Dark Brown, Black; the threads are hard to see because it is so fine; no thread counts here because it was not possible; there is a small hem on one side of this cloth; this is an import; professional-level fulling on one side.",,Skalholt final numbers April 2016,"25,26",,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH04-4152 z,4152,,Wool,2,19cm x3.5cm/13cm x12 cm,?,?,?,?,?,Twill,twill,,,,,"Brown; very heavily fulled, so the weave and yarn are not apparent; fragments are oddly shaped.",,Skalholt final numbers April 2016,"27,31",,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH04-4231 c,4231,,Wool,1,44.01 x 11.11,1.31 / 1.49,Z2s ?,s ?,?,?,Twill,twill,y,,,,Brown; heavily fulled so the weave is not clear except at the edges; the colour is brown but appears to have a reddish hue to it; shaped like a border of some kind.,,SKH04 ks. 2.docx,77,,,,1045,S22.1,1670,1700,1670-1700,1660-1720,Assistant Teachers Quarters
1,SKH04-4303 a,4303,,Wool,1,7.2cm x 49.90,0.79 / 0.86,Z2s,S2z,16,14,Twill,twill,wear and intentional,,Fine,,Dark Brown; the fragment that is very worn and getting heavily fulled by wear and possibly it was also fulled a little intentionally; similarly fulled on both sides; there are ends sticking a out a bit and there is a some dirt on the fragments; the weave,,SKH04 ks.2 cont.docx,7,,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH05-6918 d,6918,1450,Wool,2,17 cm x 30.19  (thick fabric: 3.15  to 2.98  thick)  /  38.4 x 7.01,0.82 ? / 2.02,z2s,s2z,?,6,Twill,twill,y,y,,,"Black, Tan; Black, Tan; Twill ID is based on the diagonal pattern somewhat visible through fulled surface; fabric is thick; evenly fulled on both sides with coarse black hairs obscuring the structure, which is difficult to see; fluffy weft is much wider t",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #2 ADC","12, 15",,,,1450,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH05-6942 b,6942,1313,Wool,1,38.87 x 15.67,0.91 / 1.27,Z & Z2s,S,?,?,Twill,twill,,,,,"Black, Tan; Brown, Black, Tan; ; a small fragment of woven textile with single warp and weft but with Z2s loops along one edge that might have been starting warps; too small to permit thread count; the Z2s loops are 2.29 mm wide overall with individual ya",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC","18, 19",,,,1313,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
1,SKH05-6956 a,6956,1415,Wool,2,101.94 x 21.68   /  66.36 x 17.38,0.9 / 0.99,Z2s,s,8,7,Twill,twill,y,,,,"Black, Tan; these are strips of fulled fabric – fulling (black fibers) obscures structure over most of the pieces on both sides; plied warp, single s-spun weft; coarse warp, loosely spun weft; the black twists around strands of unwoven yarn like the strip",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #3 ADC",1,,,,1415,S7.2,1760,1800,1760-1800,1750-1810,Vestibule & Corridor
1,SKH05-6991,6991,1495,Wool,1,18.33 x 17.11,0.92 / 0.62,Z2s,s ?,?,?,Twill,twill,,,,,"Light Brown; Dark Brown; weave is distorted – by being flattened – desiccated looking warp – light brown, fine Dark Brown warp – too small a fragment to do thread count",,"Textiles, Laboratory Work Sheets from SKH05-KS12 #4 ADC",17,,,,1495,S18.7,1770,1790,1770-1790,1750-1810,Pantry
1,SKH05-7170 a,7170,1627,Wool,1,40.06mmx30.04mm,0.97 /1.02,Z2s,s ?,11,8,Twill,twill,,,homespun,,Brown / no surface fulling small piece no diagnostic features.,,Skalholt Michele – SKH05-KS.12 Alan’s box,,,,,1627,S7.1,1720,1760,1720-1760,1720-1780,Vestibule & Corridor
1,SKH03-1250,1250,,Wool,1,131.92x103.64,0.18 / 0.63,Z2s,z,10,6,Twill 1/2 diagonal,twill,,Y,,,"Dark Brown; warp under 2 over 1;  warp threads are tightly spun; weft are hard to see and are fluffier and thicker; ""later textiles seem to incorporate far more plied warp threads than earlier ones do, which could relate to the cooling climate issue.""",,Textiles Skalholt Analysis sheet 2003 final (1),15,,,,243,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters
1,SKH03-2105,2105,,Wool,1,65.33x68.29,0.89 / 1.09,Z2s,S2z,7,7,Twill 1/2 diagonal,twill,,Y,,,"Brown for warp; (colour of weft not stated on work sheet, but there is no mention in the notes of colour variability, so the weft is likely brown too); warp and wefts are opposites of each other, i.e.,Z2S and S2Z; twist amounts are questionable because of",,Textiles Skalholt Analysis sheet 2003 final (1),29,,,,350,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
1,SKH03-3349 a,3349,,Wool,1,152.15x63.30,0.83 / 1.12,Z2s,s,9,9,Twill 1/2 diagonal,twill,Y,Y,very fine,,"Dark Brown; weave was very hard to see due to some fulling of the surface due to some fulling on the surface, very fine threads and decay; fluffier weft.",,Textiles Skalholt Analysis sheet 2003 final (1),27,,,,642,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH07-15707,15707,2831,Wool,1,44.03x23.94,0.60 / 0.84,Z2s,S2z,9,9,Twill 1/2 diagonal,twill,,,very silky appearance,,"Brown; ""the fibers are so fine, that I think this is a piece made with the thell only, or at least predominantly.""",,Textiles Skalholt 2007 final (1),62,,,,2831,S25.1,1670,1710,1670-1710,1660-1720,Boys Lodge (servants?)
1,SKH03-1229 b,1229,,Wool,1,7 cm x 3 cm,0.20 / 0.40,Z2s,z ?,9,7 to 8,Twill 1/2 warp faced or Tabby weave?,twill,,,,,"Dark Brown; warp faced; weft is almost invisible; not sure of fabric structure - could be 1/2 twill, or plied yarn on warp may be causing a tabby to give the false impression of being a twill.",,Textiles Skalholt Analysis sheet 2003 final (1),10 to 12,,,,196,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
1,SKH03-3036 c,3036,,Wool,3,45.36x48.29 / 50.14x20.71 / 36.45x15.62,0.60 / 0.92,Z2s,s,8,8,Twill 2/1,twill,,,fine,,Brown; weft looks like it is Z spun which is unusual but is actually S spun.,,Textiles Skalholt Analysis sheet 2003 final (1),"42, 44",,,,646,S13.3,1800,1830,1800-1830,1780-1840,Main Corridor
1,SKH04-4152 u,4152,,Wool,5,20cm x 15cm /9cm x 4.5cm/73.95mmx10.29mm/37.72mmx17.00/33.40mm x13.51mm,0.97 / 0.81,z,S2z,9 to 10,8,Twill 2/1,twill,,,,,"Brown; 2/1 twill, unlike the other pieces of cloth that are all 2/2; no surface fulling; one piece has some wear; there are three very small pieces and 2 large one; there is also some salt  that is adhering to the surface of the wool.",,Skalholt final numbers April 2016,"27,29",,,,1278,S13.2,1750,1800,1750-1800,1750-1810,Main Corridor
1,SKH05-6918 g,6918,1450,Wool,1,51.28 x 24.11,0.76 / 1.37,Z2s,s,8,6,Twill 2/1,twill,y,y,,,"Black, Tan; Black, Tan; partly fulled with black fibers on both sides, unevenness of fulling suggests it is from wear; coarse warp, fluffy weft",,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #2 ADC","12, 18",,,,1450,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH05-6933,6933,1,Wool,1,99.07 x 59.66,0.71 / 0.97,z,zs,10,10,Twill 2/1,twill,,,,,Dark Brown - tan warp/Light Brown - tan weft;,,"Textiles, Laboratory Work Sheets from  SKH05-KS12 #1 ADC",11,,,,1,LH,1958,1958,1958,1930-1960,Levelling Horizon
1,SKH06-09616 a,9616,,Wool,7,33 cm x 55.99 mm / 118.30x59.37 / 100.41x52.29 / 79.21x28.83 / 58.21x30.0 / 48x11x21.14 / 32.41x11.88,0.32 / 0.31,z,z,15,14 to 15,Twill 2/1,twill,,,"very fine, very regular",,"Tan; not certain whether it is homespun or industrial; if this was not done in workshops in Reykjavik, would not be surprised if made on a flat loom by its regularity; on one of the larger pieces there is evidence of a border and selvage; one piece is cir",,Textile Skalholt 2006 field season final (1).docx,"8,9",,,,2076,C.2-3,1720,1850,1720-1850,1720-1870,Courtyard
1,SKH06-64-9824 f,9824,,Wool,1,53.88 x 10.05,0.62 / 0.37,Z2s,s,n/a,n/a,Twill 2/1,twill,,,import ?,,Tan; 2/1 twill; could be an import; it is possible that the direction of the cloth was reversed in analysis and the weft not the warp was Z2s; too small to do thread count; wool looks relatively uniform without differences in warp and weft and thickness o,,"Textiles, Laboratory Work sheet BOX SKH 2006- KS. 6 continuation","37, 39",,,,2469,S8.1,1720,1750,1720-1750,1720-1750,Nursery
1,SKH06-09680 c,9680,,Wool,3,73.58x13.01 / 70.84x14.48 / 61.78x11.53,0.78 / 1.25,Z2s,s,12,9,Twill 2/1 weft faced,twill,very little,,,all pieces of same cloth ?,"Brown; looks like another piece of tablet weaving but it is not - the pieces are in bands because they were cut; note the diameters of the fibers; ""this was one larger piece of weft-faced weave and nothing more . . ."" (therefore all pieces of same cloth?)",,"Skalholt,Sept 2014 SKH06 KS 14.docx.docx",17,,,,2215,S5.2,1740,1760,1740-1760,1720-1780,Bishops Dining Room
1,SKH03-1229 a,1229,,Wool,1,19.5 cm x 9.6 cm (?),0.12 / 0.43,z,s,10,8,Twill 2/2,twill,,,finely woven,,Dark Brown; fairly standard stuff.,,Textiles Skalholt Analysis sheet 2003 final (1),10 to 12,,,,196,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
1,SKH03-1239,1239,,Wool,3,114.20x51.02 / 108.76x47.70 /47.87x20.33,1.03 / 1.82,z,s,7,6,Twill 2/2,twill,,,,all pieces of same cloth,Reddish Brown; one of the pieces has a small hem line fragment.,,Textiles Skalholt Analysis sheet 2003 final (1),33,,,,233,S20.3,1700,1750,1700-1750,1690-1750,School Dormitory
1,SKH03-1494 b,1494,,Wool,1,35.85x9.96,not stated,z,s,10,7,Twill 2/2,twill,,,,,Tan,,Textiles Skalholt Analysis sheet 2003 final (1),93 to 94,,,,283,S20.2,1670,1700,1670-1700,1660-1720,School Dormitory
1,SKH03-1692 a,1692,,Wool,15,153.96x43.85 (largest of the 15),1.14 / 1.40,Z2s,s,5,6,Twill 2/2,twill,y,,coarse,,"Brown; too fulled to find threads for spin tension ""and I am not sure it makes sense anyway on plied warp threads;"" surface is completely felted for the most part; cloth is so filthy that it does not facilitate the identification of the weave.",,Textiles Skalholt Analysis sheet 2003 final (1),85 to 86,,,,188,LH,1958,1958,1958,1930-1960,Levelling Horizon
1,SKH03-19020,19020,543,Wool,1,6.08x6.10,,z,s,NA,NA,Twill 2/2,twill,NO,No,fine,,very small fragment of a finely woven black 2/2 twill.,,,,,,,543,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
1,SKH03-19058,19058,548,Wool,1,23.42mmx8.42mm,,z2s,s,Na,NA,Twill 2/2,twill,some,yes,medium to coarse,,very small fluffy fragment.,,,,,,,548,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
1,SKH03-2271 a,2271,,Wool,3,60.31x54.02 / 64.20x50.79 / 25.31x14.64,1.30 / 1.83,Z2s,z,7,4,Twill 2/2,twill,,,,,Brown.,,Textiles Skalholt Analysis sheet 2003 final (1),60 to 61,,,,512,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
1,SKH03-2271 b,2271,,Wool,2,81.59x30.86 / 99.03x39.76,0.59 / 0.69,z,s,10,8,Twill 2/2,twill,,,,,Brown.,,Textiles Skalholt Analysis sheet 2003 final (1),60 to 61,,,,512,S5.4,1780,1800,1780-1800,1780-1810,Pantry/Study & Library
1,SKH03-2313,2313,,Wool,3,68.44x29.92  (51.26x4.51 / 31.62x5.71 Two strands of plied thread that were not analyzed),0.78 / 1.53,not stated,s,6,6,Twill 2/2,twill,,,,Do not know whether or not the threads belong to the textile.,Tan; the third piece is folded over itself.,,Textiles Skalholt Analysis sheet 2003 final (1),64,,,,532,S4.3,1780,1800,1780-1800,1780-1810,Lodge/Dining Room & Chambers
1,SKH03-2387,2387,,Wool,2,54.15x8.82 / 23.55x11.45,1.19 / 1.61,Z2s,s,n/a,n/a,Twill 2/2,twill,y,Y,homespun,,Reddish Brown; very small strip with fluffy weft thread; considerable amount of fulling on the surface; fluffier fibers on weft while plied warp yarns are tightly spun.,,Textiles Skalholt Analysis sheet 2003 final (1),95,,,,393,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH03-2425 a,2425,,Wool,4,95.94x24.78 / 67.96x17.73 / 55.70x30.06 / 41.17x25.61,0.43 / 0.89,z,s,9,8,Twill 2/2,twill,Y,,,all pieces of same cloth,"Light Brown; very fulled, hard to see fibers; one of the four has a piece of selvage; none of the frags are diagnostic in terms of pieces of garment.",,Textiles Skalholt Analysis sheet 2003 final (1),18,,,,441,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
1,SKH03-2579,2579,,Wool,1,49.46x18.04,0.75 / 1.27,z,s,11,6,Twill 2/2,twill,,,,,Reddish Brown,,Textiles Skalholt Analysis sheet 2003 final (1),63,,,,524,S20.1,1650,1670,1650-1670,1630-1690,School Dormitory
