ID,Find,Context,Quant,Weight (gr),Object Type,Material,Stone Type,Notes,Descriptions,Length (mm),Width (mm),Thickness (mm),Diameter (mm),Origin,Building Phase,Real Date,Period_Date,Attribution
704,8905,1630,2,3,Manuport,Mineral,Calcite,,"Transluscent to white, weak glassy lustre, trigonal crystals, yield to a knife",12-20,11-12,6-7,,Icelandic,S5.2,1740-1760,1720-1780,Bishops Dining Room
705,8906,1630,1,8,Roof Tile,Metamorphic Rock,Black slate,,"Grayish black, glittery, dull/irregular edges",41,18,"6,1",,Foreign,S5.2,1740-1760,1720-1780,Bishops Dining Room
706,8907,1630,14,19,Flake,Sedimentary Rock,Flint,,"Light gray to very dark gray, mottled and dotted, edges dull/irregular to sharp, smooth to concoidal fracture, one fragment has partial subrounded rough outer edge of nodule, one fragment has partial yellowy white thin chalky/cherty coating",8-34,5-22,1-12,,Non-Icelandic,S5.2,1740-1760,1720-1780,Bishops Dining Room
707,8908,1635,1,1,Flake,Sedimentary Rock,Flint,,"Light gray, mottled, sharp edges",13,12,6,,Foreign,S11.4,1740,1720-1750,Priests Living Quarters
708,8909,1643,2,15,Flake,Sedimentary Rock,Flint,,"Light gray to dark gray, mottled and dotted, dull/irregular to sharp edges, one fragment has the rough subrounded outer edge of nodule",24-42,19-20,9-12,,Foreign,S19.1,1730-1770,1720-1780,School Refectory
709,8910,1646,8,55.18,Flake,Sedimentary Rock,Flint,,"Eight flint fragments, brownish light gray to dark gray, mottled and dotted, edges dull/irregular to sharp, smooth and concoidal fractures, three fragments show partial rough subrounded outer edge of nodule, one has partial, very thin cherty/chalky coat;",16-36,16-28,4-23,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
710,8910,1646,1,3.82,Manuport,Mineral,Quartz,,"one fragment most likely amygdale, pitted subrounded, outer surface, no lustre, scratches glass, sharp edges in fracture, irregular to smooth fracture, no visible banding or layering, quartz but further analysis impossible",21,16,12,,Icelandic,C.2-3,1720-1850,1720-1870,Courtyard
711,8911,1646,1,1.08,Flake,Sedimentary rock,Flint,,"Flint: white, angular, dull to sharp edges, smooth fracture",14,13,6,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
712,8911,1646,1,24.88,Manuport,Igneous rock,Basalt,,"Basalt: well rounded broken manuport, blackish gray, irregular rough fracture, very fine grained, edges fairly sharp in fracture, smooth black surface most likely due to water erosion, blágrýti, very similar to fragment in bag 8917",29,28,20,,Icelandic,C.2-3,1720-1850,1720-1870,Courtyard
713,8912,1654,1,4,Flake,Sedimentary Rock,Flint,,"Gray, dotted w.black dots, coarse flint, edges dull to irregular, angular to subangular, concoidal fracture, no lustre",27,17,12,,Foreign,S18.6,1760-1770,1750-1780,Pantry
714,8913,1665,1,11,Worked?,Sedimentary Rock,Chemical sediment,,"Yellowy brown, low density, very fine grained, no banding or layering visible, subangular, yields to a fingernail, little or no vesicles, three flat fairly smooth sides, worked? most likely chemical sediment, more analysis needed to be sure",36,23,20,,Icelandic,S18.6,1760-1770,1750-1780,Pantry
715,8914,1665,2,6,Flake,Sedimentary Rock,Flint,,"Gray, mottled, sharp to dull/irregular edges, no lustre",24-26,17-19,8-9,,Foreign,S18.6,1760-1770,1750-1780,Pantry
716,8915,1666,1,22,Flake,Sedimentary Rock,Flint,,"Whitish gray, faintly dotted, one side the white chalky/cherty outer edge of nodule",43,32,15,,Foreign,S18.6,1760-1770,1750-1780,Pantry
717,8916,1679,20,9.29,Flake,Sedimentary Rock,Flint,1 natural basalt pebble - discarded,"Whitish gray to dark gray, mottled and dotted, edges sharp to dull/irregular;",6-26,6-17,3-9,,Foreign,S7.1,1720-1760,1720-1780,Vestibule & Corridor
718,8916,1679,1,0.71,Manuport,Mineral,Onyx,,"one fragment of onyx, horizontal banding clear, white and whitish gray",10,9,8,,Icelandic,S7.1,1720-1760,1720-1780,Vestibule & Corridor
719,8917,1679,3,8.94,Manuport,Igneous Rock,Rhyolite,,"waterworn, lightcolored manuports, most likely rhyolite but fragments too small to determine with accuracy, could also be quartz amygdales",14-25,7-25,5-14,,Icelandic,S7.1,1720-1760,1720-1780,Vestibule & Corridor
720,8917,1679,1,46.49,Natural,Igneous rock,"Basalt, massive",,"natural broken waterworn rock, 1 large fragment basalt (similar to 8911), partially subrounded, no working",53,31,27,,Icelandic,S7.1,1720-1760,1720-1780,Vestibule & Corridor
721,8917,1679,1,0.53,Manuport,Igneous Rock,granite,,"one small fragment, angular edges, no working",10,8,6,,Icelandic,S7.1,1720-1760,1720-1780,Vestibule & Corridor
722,8917,1679,2,4.05,Flake,Sedimentary Rock,Flint,,"2 fragments coarse flint, gray, edges dull/irregular to sharp;",9-24,5-18,5-10,,Foreign,S7.1,1720-1760,1720-1780,Vestibule & Corridor
723,8918,1688,3,17,Flake,Sedimentary Rock,Flint,,"One light gray fragment, dotted, two grayish black, sides dull/irregular to sharp",19-25,15-25,7-10,,Non-Icelandic,S10.3,1760-1800,1750-1810,Kitchen
724,8919,1690,4,4,Flake,Sedimentary Rock,Flint,,"Light gray to dark gray, mottled and dotted, edges dull/irregular to sharp, one fragment has a white rough chalky/cherty outer side of nodule",14-22,9-11,3-6,,Non-Icelandic,S7.2,1760-1800,1750-1810,Vestibule & Corridor
725,8921,1710,1,221,Manuport,Mineral,Quartz,,"Large rock of quartz, coarse, white to gray, small part transluscent, a few pockets of rock crystals, scratches glass, subangular",84,70,35,,Icelandic,S5.3,1760-1780,1750-1780,Bishops Dining Room
726,8922,5001,1,49,Manuport,Igneous Rock,"Basalt, vesicular",,"Small basalt fragment, mildly vesicular, large vesicles 4-11 mm in length, light gray to red weathering coat covers the whole fragment, edges subangular to subrounded",62,37,25,,Icelandic,,,,
727,8923,5001,1,20,Flake,Sedimentary Rock,Flint,,"Brownish gray, mottled and dotted, sharp to dull/irregular edges, smooth to concoidal fractures, one side the rough subrounded outer side of nodule",45,25,16,,Foreign,,,,
728,8924,5001,1,3,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, low density, faint layering, irregular to smooth fracture, does not stain the fingers",14,11,8,,Foreign,,,,
729,8925,5001,8,37,Roof Tile,Metamorphic Rock,Black slate,,"Black, small thin flakes and on large multilayered flake, edges irregular to sharp, fine grained",13-77,9-55,"0,8-5,2",,Foreign,,,,
730,8926,5002,1,0.1,Flake,Sedimentary Rock,Flint (Jasper?),,"Caramel brown to red to dark gray, banded/layered, sharp to dull/irregular edges, no to weak greasy lustre, might be flint, might be jasper",23,15,8,,Foreign?,,,,
731,8927,5010,1,4,Flake,Mineral,Quartz,,"Transluscent, dull/irregular to sharp edges, on one end of fragment there are tiny tiny glittery crystals, most likely quartz rock crystals, fragment has smooth fractures, scratches glass, no clear structure, slightly ""flint-like""",35,22,7,,Icelandic?,,,,
732,8928,5013,5,5,Fuel,Sedimentary Rock,Coal,,"Black, greasy to glassy lustre, faint lenses, irregular but fairly smooth fracture, low density, no vesicles, dull edges, does not stain the fingers",13-23,9-18,4-12,,Foreign,,,,
733,8929,5013,1,4,Flake,Sedimentary Rock,Flint,,"One blackish gray fragment, dotted, partially covered by thin white chalky/cherty coating, edges sharp",30,17,9,,Foreign,,,,
734,8930,5013,7,8,Roof Tile,Metamorphic Rock,Black slate,,"Black, thin flakes, fine grained, mildly rough to smooth surface",12-36,11-31,"1,5-2,9",,Foreign,,,,
735,8945,1449,1,0.5,Writing implement,Metamorphic Rock,Black slate,,"Thin and long, worked, black, faint banding, striated diagonally, fine grained, broken narrow end of slate pencil",38,4-6,4-5,,Foreign,S5.2,1740-1760,1720-1780,Bishops Dining Room
736,8960,77,1,1234,Quernstone,Igneous Rock,Vesicular basalt w.feldspar phenocrysts,,"Broken, small fragment of a large quernstone, possibly about 40 cm in diameter, vesicles from 1 - 20 mm in length",170,85,70,400 (?),Icelandic,S8.3,1800-1850,1780-1870,Nursery/Private Chambers
737,8961,1335,1,1275,Manuport,Igneous Rock,Basalt,[1335] Group,"Dark gray, mildly vesicular, few vesicles < 4 mm, well rounded by water erosion, unworked",125,95,60,,Icelandic,S18.6,1760-1770,1750-1780,Pantry
738,8962,1336,1,1281,Ashlar,Sedimentary Rock,Geyserite,Þjóðminjasafn,"Chemical sediment, grayish black and brownish gray to yellowy white, vesicular, silica, does not yield to fingernail, not many clear impressions of vegetation etc., matrix grainular to massive, mat to glassy",180,45-125,55-65,,Icelandic,S6.3,1800-1890,1780-1900,Bishops Living Quarters
739,8963,1412,1,2500,Fish Hammer,Igneous Rock,"Basalt, vesicular",,"Dark gray, mildly vesicular, few vesicles 1-25 mm in diameter, with a few feldspar phenocrysts < 5 mm in diameter, rounded by water erosion, original manuport worked as fish hammer, hole in the middle been about 50 mm",135,120,110,,Icelandic,S18.8,1790-1830,1780-1840,Midden
740,8964,1415,1,1240,Fish Hammer,Igneous Rock,"Basalt, vesicular",Þjóðminjasafn,"Basalt, very dark bluish gray, very fine grained, no clear phenocrysts, very finely vesicular, vesicles <1 mm in diameter, 5-10%, Irregular in shape, broken in half, one half missing, eye elliptical, about 40-45 in diameter, notch at the center of the hol",,,92-96,130,Icelandic,S7.2,1760-1800,1750-1810,Vestibule & Corridor
741,8965,,1,1410,Fish Hammer,Igneous Rock,"Basalt, vesicular","infilling in to step, Kyndluhóll","Broken, dark gray, vesicles abundant, < 4 mm, hole about 40 mm in diameter, subrounded by water action, manuport used as fish hammer",155,85,90,,Icelandic,,,,
742,8966,1384,1,6500,Natural?,Igneous Rock,Basalt,"líklega ekki kvarnarsteinn, [1384], S7.3, 1790-1840, vestibule+corridor, floor","Broken, gray, mostly massive with moderate very small to small irregular vesicles, convex top, bottom flat but vesicular, 1-20 mm of bottom half moderately to very vesicular, vesicles 1-20 mm in length/diameter, very rare tiny white phenocrysts, most like",,,15 (edge)-45 (middle),>425,Icelandic,S7.3,1800-1840,1780-1840,Vestibule & Corridor
743,8967,1,1,98,Brick,Sedimentary Rock,Geyserite,Needs weak hydrochloric acid (makes calcite fizz),"Yellowy light brown to brown, fibrous and crusted surface/texture, voids moderate, low density, large brick fragment, yields to fingernail, most likely calcium carbonate (kalkhrúður), angular",108,56,37,,Icelandic,LH,1958,1930-1960,Levelling Horizon
744,8988,1408,1,29,Brick,Sedimentary Rock,Geyserite,,"Yellowy light brown to whitish brown, low density, tiny voids/vesicles abundant, fine grained but fibrous in places, most likely plant impressions and air holes, yields to fingernail, most likely silica and calcium carbonate (kalkhrúður), brick fragment,",65,56,19,,Icelandic,S18.8,1790-1830,1780-1840,Midden
745,8998,1455,1,12,Brick,Sedimentary Rock,Geyserite,,"Yellowy light brown to whitish brown, fibrous, irregular patterns, fine grained, low density, voids/vesicles moderate, yields to fingernail, most likely silica and calcium carbonate (kalkhrúður), brick fragment, angular",55,28,27,,Icelandic,S11.1,1690-1720,1690-1720,Living Quarters
746,9002,1502,1,150,Brick,Sedimentary Rock,Geyserite,,"Light brown, fibrous and crusty, plant impressions and air tunnels clear, voids abundand, angular, low density, does not yield to fingernail, most likely silica (kísilhrúður)",100,72,40,,Icelandic,S19.1,1730-1770,1720-1780,School Refectory
747,9003,1503,1,18,Brick,Sedimentary Rock,Geyserite,,"White to redish brown, fibrous and crusty, voids abundant, low density, does not yield to fingernail, most likely silica (kísilhrúður)",48,35,22,,Icelandic,S19.1,1730-1770,1720-1780,School Refectory
748,9004,1504,3,85,Brick,Sedimentary Rock,Geyserite,,"Yellowy to redish brown, fibrous and crusty, voids abundant, low to moderate density, does not yield to fingernail, most likely silica (kísilhrúður), angular, brick fragments",28-87,23-55,12-40,,Icelandic,S19.1,1730-1770,1720-1780,School Refectory
749,9007,1507,1,8,Brick,Sedimentary Rock,Geyserite,Needs weak hydrochloric acid (makes calcite fizz),"Whitish to yellowy light brown, fibrous and crusty, voids abundant, does and doesn´t yield to fingernail, most likely mix of calcium carbonate (kalkhrúður) and silica (kísilhrúður",45,20,18,,Icelandic,S19.1,1730-1770,1720-1780,School Refectory
750,9020,1592,1,1096,Manuport,Igneous Rock,Basalt,SKH05,"small part broken off for analysis as wethering coat is all over the the rock, hard to analyse due to heavy weathering and oxidation, most likely fine grained basalt, very bluish dark gray, rather porous (very small vesicles in matrix), edges subangular",90,70-80,65-70,,Icelandic,C.3,1830-1850,1810-1870,Courtyard
751,9039,1329,1,5,Fuel,Sedimentary Rock,Coal,,"Black, glassy, flakes easily, low density",42,14,14,,Foreign,S12.1,1690-1740,1690-1750,Living Quarters
752,9071,1527,1,1,Flake,Mineral,Jasper,With slag,"Dark green, sharp edges",15,12,10,,Icelandic,S5.2,1740-1760,1720-1780,Bishops Dining Room
753,9094,1289,1,16,Fuel,Sedimentary Rock,Coal,"Bartur/with slag, put in box 23","Black, glassy lustre, cube-like fracture, smooth to rough sides, faint layering/banding, does not stain fingers",34,32,21,,Foreign,MB.3,1880-1930,1870-1930,Midden Zone B
754,9095,1329,9,19,Fuel,Sedimentary Rock,Coal,"east side, Bjartur/with slag, put in box 23","Black, greasy to glassy lustre, flakes very easily, stain fingers, cube-like to irregular fractures, faint banding",12-41,11-20,5-13,,Foreign,S12.1,1690-1740,1690-1750,Living Quarters
755,9096,1329,14,53,Fuel,Sedimentary Rock,Coal,"Bartur/with slag, put in box 23","Black, greasy to glassy lustre, flakes very easily, stain fingers, cube-like to irregular fractures, clear banding",8-49,3-33,2-20,,Foreign,S12.1,1690-1740,1690-1750,Living Quarters
756,9097,1385,1,30,Flake,Igneous Rock,Obsidian,"Bjartur/with slag, in bag with glass, put in box 23","Black, glassy, sharp edges, smooth curved to irregular fracture, opaque, scratches glass",52,30,19,,Icelandic,S7.3,1800-1840,1780-1840,Vestibule & Corridor
757,9098,1485,1,5,Fuel,Sedimentary Rock,Coal,"Bjartur/with slag, put in box 23","Black, glassy lustre, cube-like to irregular fracture, smooth to rough sides, faint layering/banding, fractures easily, stains fingers faintly",31,17,15,,Foreign,S10.4,1800-1880,1780-1900,Kitchen
758,9099,1486,2,4,Fuel,Sedimentary Rock,Coal,"Bjartur/with slag, put in box 23","Black, greasy to glassy lustre, flakes very easily, don´t stain fingers, cube-like to irregular fractures, faint banding",16-19,15,7-12,,Foreign,S10.4,1800-1880,1780-1900,Kitchen
759,9100,1503,2,0.5,Fuel,Sedimentary Rock,Coal,"Bjartur/with slag, put in box 23","Black, greasy lustre, breaks very easily, faint layering, low density, irregular fractures does not stain fingers",13-14,9-12,6-10,,Foreign,S19.1,1730-1770,1720-1780,School Refectory
760,9122,268,1,0.5,Flake,Sedimentary Rock,Flint,SKH 03 - Floating - sample nr 30,"Dark gray to black, sharp edges, mottled, concoidal fracture",21,14,8,,Foreign,S5.4,1780-1800,1780-1810,Pantry/Study & Library
761,9125,548,3,0.5,Flake,Sedimentary Rock,Flint,SKH 03 - Floating - sample nr 43,"Light to very dark gray, mottled and banded, sharp edges",10-18,8-11,3-7,,Foreign,S4.3,1780-1800,1780-1810,Lodge/Dining Room & Chambers
762,9141,766,1,2,Manuport,Mineral,Jasper,SKH 04 - Floating - sample nr 64,"Broken manuport, partially subrounded possibly due to water erosion, scratches glass, has a dark red core, sharp edges, weak greasy lustre, most likely jasper + quartz mineral",16,12,5,,Icelandic?,S4.2,1760-1780,1750-1780,Lodge/Dining Room & Chambers
763,9142,956,1,5,Flake,Sedimentary Rock,Flint,SKH 04 - Floating - sample nr 81,"Gray, sharp edges, coarse flint, smooth fractures",23,15,14,,Foreign,S5.3,1760-1780,1750-1780,Bishops Dining Room
764,9741,2215,1,0.16,Mineral,Mineral,Seladónít (Illite),SKH06,"Ljósblágrænn, afmyndast með nögl, lætur undan hnífsblaði, holufylling, líklegast seladónít",9,7,3,,Icelandic,S5.2,1740-1760,1720-1780,Bishops Dining Room
765,9832,,1,1.5,Flake,Igneous rock,Obsidian,SKH05,"Small flake, edges blunt, angular, worn, concoidal fracture pattern, black, translucent, faint quartz formation on surface in one area which suggests natural rather than bottle glass",28,3-12,2-5,,Icelandic,S10.1,1700-1730,1690-1750,Kitchen
766,12074,1705,1,5,Flake,Sedimentary Rock,Flint,,"Gray, dotted and mottled, sharp edges, concoidal and smooth fractures",26,26,9,,Foreign,S6.3,1800-1890,1780-1900,Bishops Living Quarters
767,12075,1716,2,6,Flake,Sedimentary Rock,Flint,,"Larger fragment is whitish gray to dark gray, mottled, concoidal and smooth fractures, sharp to irregular/dull, partially subrounded rough outer surface of nodule, smaller fragment white, sharp edges, smooth fractures, mild glassy lustre, scratches glass",15-26,8-20,6-11,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
768,12076,1766,1,80,Flake,Sedimentary Rock,Flint,,"Large fragment of subrounded nodule, three sides subrounded and rough (pitted/striated), smooth and concoidal fractures, brownish light gray to gray, dotted and mottled",50,39,34,,Foreign,S4.2,1760-1780,1750-1780,Lodge/Dining Room & Chambers
769,12077,1774,1,7,Flake,Sedimentary Rock,Flint,,"Gray to very dark gray, mottled and dotted, edges dull/irregular to sharp, partially the rough subrounded outer surface of nodule, concoidal fracture",25,23,13,,Foreign,S5.1,1720-1740,1720-1750,Bishops Dining Room
770,12078,1781,1,7,Flake,Sedimentary Rock,Flint,,"Light to gray, mottled and dotted, edges dull/irregular to sharp, partially rough subrounded outer surface of nodule",28,20,13,,Foreign,S5.4,1780-1800,1780-1810,Pantry/Study & Library
771,12079,1786,1,12,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, mottled, edges dull/irregular, worn, concoidal and smooth fractures",30,26,14,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
772,12080,1788,1,0.5,Flake,Sedimentary Rock,Flint,,"Small flake, light gray to gray, edges dull/irregular to sharp, mottled",13,11,4,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
773,12081,1791,1,1,Flake,Sedimentary Rock,Flint,,"Silvery gray, subangular, edges dull/irregular, smooth fractures, possibly water eroded",16,13,7,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
774,12082,1795,1,1,Flake,Sedimentary Rock,Flint,,"Gray, faintly mottled, sharp edges, partially rough subrounded outer surface of nodule",20,16,8,,Foreign,S5.1,1720-1740,1720-1750,Bishops Dining Room
775,12083,1799,4,4,Flake,Sedimentary Rock,Flint,,"Light gray to dark gray, mottled and dotted, sharp to dull/irregular edges, smooth fractures, one fragment has partial rough subrounded outer surface of nodule",10-20,10-17,5-10,,Foreign,S5.1,1720-1740,1720-1750,Bishops Dining Room
776,12084,1809,2,1,Flake,Sedimentary Rock,Flint,,"Small brownish gray flakes, mottled, sharp edges, smooth fractures",11-13,8-11,3,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
777,12085,1811,1,0.5,Flake,Sedimentary Rock,Flint,,"Small basalt fragment, mildly vesicular, large vesicles 4-11 mm in length, light gray to red weathering coat covers the whole fragment, edges subangular to subrounded",15,10,4,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
778,12086,1816,1,0.5,Flake,Sedimentary Rock,Flint,,"Whitish gray to light gray, mottled, sharp edges, small flake",17,12,3,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
779,12087,1814,1,1,Flake,Sedimentary Rock,Flint,,"Dark gray, sharp edges, mottled, smooth fracture",16,15,3,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
780,12088,1818,1,0.5,Flake,Sedimentary Rock,Flint,,"White to light gray, sharp edges, mottled and dotted, small flake",13,12,3,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
781,12089,1825,1,1,Flake,Sedimentary Rock,Flint,,"Gray flake, mottled, sharp edges, one side rough subrounded outer surface of nodule",21,15,7,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
782,12090,1845,1,1,Flake,Sedimentary Rock,Flint,,"Gray, sharp edges, mottled, concoidal fracture",24,17,7,,Foreign,C.2,1720-1830,1720-1840,Courtyard
783,12091,1861,5,11,Flake,Sedimentary Rock,Flint,,"White to very dark gray, sharp edges, concoidal and smooth fractures, mottled and dotted",18-34,9-27,2-9,,Foreign,S31.2,1700-1720,1690-1720,Bishops Dining Room
784,12092,1864,1,0.5,Flake,Sedimentary Rock,Flint,,"Thin partially transluscent very dark gray flake, edges dull/irregular to sharp, fractures smooth, partially thin white cherty outer edge of nodule",17,13,3,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
785,12093,1877,1,8,Flake,Sedimentary Rock,Flint,,"Gray, dotted and mottled, subangular, worn, smooth fractures",29,21,20,,Foreign,C.2,1720-1830,1720-1840,Courtyard
786,12094,1880,2,0.5,Flake,Sedimentary Rock,Flint,,"Two small flakes, gray to dark gray, dotted and mottled, subangular, one fragment has pitted white cherty outer surface of nodule",12-13,9-11,3-5,,Foreign,S23.1,1700-1720,1690-1720,Bishops Living Quarters
787,12095,1881,2,0.5,Flake,Sedimentary Rock,Flint,,"Two very small whitish gray and dark gray flakes, subangular, dotted",11,8-10,3-4,,Foreign,S23.1,1700-1720,1690-1720,Bishops Living Quarters
788,12096,1890,1,1,Flake,Sedimentary Rock,Flint,,"Brownish gray and very dark gray, mottled and dotted, edges sharp",24,14,4,,Foreign,S10.3,1760-1800,1750-1810,Kitchen
789,12097,1892,1,1,Flake,Sedimentary Rock,Flint,,"Gray, dotted, sharp edges, concoidal fracture",18,14,4,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
790,12098,1905,1,5,Flake,Sedimentary Rock,Flint,,"Gray, dotted, edges dull to irregular, angular",24,19,12,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
791,12099,1906,2,8,Flake,Sedimentary Rock + Mineral,Flint + Jasper,,"Jasper: red to dark wine red, mottled with whitegray flecks, sharp edges, no lustre, Flint: Gray, mottled and dotted, sharp edges, smooth fractures",F: 22 J: 21,F: 21 J: 19,F: 10 J: 11,,Non-Icelandic + Icelandic,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
792,12100,1923,1,0.5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, mottled, edges irregular/dull to sharp, smooth fractures",21,12,8,,Foreign,C.3,1830-1850,1810-1870,Courtyard
793,12101,1947,2,4,Flake,Sedimentary Rock,Flint,,"Light gray, mottled and dotted, one fragment is worn, dull/irregular edges, other is ""fresh"" with sharp edges, concoidal fractures",18-21,13-15,6-13,,Foreign,S10.3,1760-1800,1750-1810,Kitchen
794,12102,1954,1,0.5,Flake,Sedimentary Rock,Flint,,"Gray, mottled, irregular to sharp edges, thin flake, worn",23,17,3,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
795,12103,1980,1,4,Flake,Sedimentary Rock,Flint,,"Gray, mottled, irregular/dull edges, smooth fractures, partial rough subrounded outer edge of nodule",23,21,12,,Foreign,S17.7,1770-1790,1750-1810,Meat Store
796,12104,1985,1,6,Flake,Sedimentary Rock,Flint,,"Grayish caramel brown to dark gray, irregular/dull edges, partially subrounded smooth outer edge of nodule",25,18,13,,Foreign,S17.7,1770-1790,1750-1810,Meat Store
797,12105,1988,3,10,Flake,Sedimentary Rock,Flint,,"Light gray to dark gray, mottled and dotted, sharp edges, one fragment has partial rough subrounded outer surface of nodule",20-35,14-16,9-12,,Foreign,S4.1,1720-1760,1720-1780,Lodge/Dining Room & Chambers
798,12106,2004,2,8,Flake,Sedimentary Rock,Flint,,"Gray, mottled and dotted, edges dull/irregular to sharp, smooth fractures",23,20,8,,Foreign,C.3,1830-1850,1810-1870,Courtyard
799,12107,2039,1,0.5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, concoidal fracture, sharp to dull/irregular edges, dotted and mottled",13,11,5,,Foreign,S13.1,1690-1750,1690-1750,Main Corridor
800,12108,2054,4,6,Flake,Sedimentary Rock,Flint,,"One fragment faint brownish red, mottled, sharp edges, no lustre, one fragment black with thin white cherty coat, outer surface of nodule, fragments subangular to angular, two fragments gray to dark gray, mottled",16-29,13-15,5-8,,Foreign,S6.1,1720-1760,1720-1780,Bishops Living Quarters
801,12109,2059,3,1,Flake,Sedimentary Rock,Flint,,"Brownish gray to dark gray, edges sharp, mottled",13-19,11-13,3-6,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
802,12110,2078,1,5,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, edges dull/irregular to sharp, mottled",30,20,13,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
803,12111,2079,3,24,Flake,Sedimentary Rock,Flint,,"Whitish gray to dark gray, edges dull/irregular to sharp, mottled and dotted, concoidal fractures, one fragment has rough subrounded outer surface of nodule",25-35,19-30,10-13,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
804,12112,2087,2,22,Flake,Sedimentary Rock,Flint,,"Gray, dotted, concoidal fractures, edges dull/irregular to sharp, one fragment has partial smooth cherty/chalky outer edge of nodule",34-37,19-28,8-13,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
805,12113,2099,1,0.5,Flake,Sedimentary Rock,Flint,,"Gray, faintly dotted, concoidal fracture, sharp to irregular edges",12,11,5,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
806,12114,2115,1,0.5,Flake,Sedimentary Rock,Flint,,"White flake, cherty smooth outer edge of nodule, small very dark gray flint part of flake, subangular, dull edges",16,12,4,,Foreign,S10.4,1800-1880,1780-1900,Kitchen
807,12115,2121,2,8,Flake,Sedimentary Rock,Flint,,"Gray to grayish black, larger fragment broken nodule, sharp egdes, subangular, smaller fragment sharp to irregular edges, smooth fractures",12-28,12-22,5-12,,Foreign,S6.2,1760-1800,1750-1810,Bishops Living Quarters
808,12116,2133,1,1,Flake,Sedimentary Rock,Flint,,"Light gray to dark gray, mottled and dotted, irregular edges, thin flake, smooth fracture",27,19,4,,Foreign,S17.7,1770-1790,1750-1810,Meat Store
809,12117,2139,1,0.5,Flake,Sedimentary Rock,Flint,,"Light gray to very dark gray, mottled, one side has thin white cherty coat/outer surface of nodule, edges dull/irregular to sharp",20,15,7,,Foreign,S18.4,1700-1740,1690-1750,Pantry
810,12118,2155,2,4,Flake,Sedimentary Rock,Flint,,"Whitish gray to brownish gray, mottled and banded, angular, edges sharp to dull/irregular",16-24,12-15,6-8,,Foreign,C.2-3,1720-1850,1720-1870,Courtyard
811,12119,2185,31,77,Flake,Sedimentary Rock + Mineral,Flint + Jasper,,"Flint: light gray to very dark gray and grayish brown, mottled and dotted, sharp to dull/irregular edges, three fragments have rough subrounded outer surface of nodule, smooth and concoidal fractures; Jasper: Dark wine red and green to dark green, angular",F: 7-31 J: 11-37,F: 4-21 J: 8-21,F: 1-19 J: 3-20,,Foreign,S5.2,1740-1760,1720-1780,Bishops Dining Room
812,12120,2192,1,5,Flake,Sedimentary Rock,Flint,,"Whitish gray to gray, sharp to dull/irregular edges, smooth fractures",23,19,14,,Foreign,S10.2,1730-1760,1720-1780,Kitchen
813,12121,2215,36,79,Flake,Sedimentary Rock,Flint,,"Light gray to very dark gray, sharp to dull/irregular edges, concoidal fractures, four fragments have rough subrounded outer edge of nodules, eight fragments have thin white chalky/cherty coats of outer edge of nodules",8-39,6-26,2-13,,Foreign,S5.2,1740-1760,1720-1780,Bishops Dining Room
814,12122,2256,1,5,Flake,Sedimentary Rock,Flint,,"Gray, mottled, subangular, dull/irregular edges, one side subrounded light gray rough outer surface of nodule",26,21,10,,Foreign,S17.6,1750-1770,1750-1780,Meat Store
815,12123,2288,1,1,Flake,Sedimentary Rock,Flint,,"Gray, mottled, sharp edges, concoidal fracture",23,13,5,,Foreign,S17.6,1750-1770,1750-1780,Meat Store
816,12124,2310,1,10,Flake,Sedimentary Rock,Flint,,"Gray to dark gray, mottled, sharp edges, one side thin white chalky/cherty outer surface of nodule, subrounded",35,21,14,,Foreign,S6.1,1720-1760,1720-1780,Bishops Living Quarters
