Sherd group,Finds_No,Context,Group,Refits,Similar to,Vessel ID,Same as VID,Fabric code,ICP,Fabric Group,Broad fabric,Vessel type,Vessel group,Food type,Number of sherds,evrep,batch,Weight,eve (%rim),eve (%base),size (mm),Rim form,Decorated,colour,Decorative method,Pattern class,Pattern type,Matching set,Moulding method,Moulding type,Repair hole,Residue,Sooting,Burnt,Use-wear,Makers mark,Date,Notes,Photo,Building Phases_Building Phase,Real Date,Start date,End date,Period_Date,Attribution,GroupNo,Space,Unit type,Unit entropy,Sieved,,
2783,2858,612,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.9,,,,,Uncertain,,,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body sherd,FALSE,S29.1,1780-1790,1780,1790,1780-1810,Infirmary,3029,3029,Floor,in situ,TRUE,,
2784,2858,612,,,,,,asian porcelain,,Porcelain,POR,,,,4,1,FALSE,1,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"thin sherds, prob saucer",FALSE,S29.1,1780-1790,1780,1790,1780-1810,Infirmary,3029,3029,Floor,in situ,TRUE,,
2785,2858,612,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,1.2,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,lower body - bowl?,FALSE,S29.1,1780-1790,1780,1790,1780-1810,Infirmary,3029,3029,Floor,in situ,TRUE,,
2786,2894,575,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.8,,,,,Uncertain,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,footring fragment - prob bowl/cup; not Batavian,FALSE,S4.2,1760-1780,1760,1780,1750-1780,Lodge/Dining Room & Chambers,934,989,Floor,in situ,FALSE,,
2787,1644,336,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.3,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body,FALSE,S20.3,1700-1750,1700,1750,1690-1750,School Dormitory,733,733,Floor,in situ,FALSE,,
2788,1346,175,,,,,,asian porcelain,,Porcelain,POR,,,,3,,TRUE,0.8,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,small slivers,FALSE,S9.1,1740-1800,1740,1800,1750-1810,Living Quarters,1100,1100,Floor,disturbed,FALSE,,
2789,1443,298,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.6,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border; prob bowl?,FALSE,S5.5,1800-1830,1800,1830,1780-1840,Pantry/Study & Library,908,329,Floor,in situ,FALSE,,
2790,2234,495,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,2,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,"lower body of bowl/saucer, dark blue palette - early 18 c?",FALSE,S15.4,1850,1850,1850,1840-1870,Wheystore,583,583,Wall,disorganized,FALSE,,
2791,1936,361,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,2,1,FALSE,0.6,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1689-1795,diaper trellis border,FALSE,S8.2,1750-1800,1750,1800,1750-1810,Nursery/Private Chambers,1298,39,Floor,in situ,FALSE,,
2792,2607,551,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,2,1,FALSE,2,3,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,"diaper trellis border; caramel; rim & body, prob same vessel",FALSE,S4.3,1780-1800,1780,1800,1780-1810,Lodge/Dining Room & Chambers,799,989,Floor,in situ,FALSE,,
2793,2819,432,,,2770,429,,unsourced porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,1.3,,,,,Decorated,polychrome,Enamelled,Floral,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,18 c?,rim with wheel border; prob European. Prob same vessel as #2770,FALSE,S4.3,1780-1800,1780,1800,1780-1810,Lodge/Dining Room & Chambers,798,989,Floor,in situ,FALSE,,
2794,2166,473,,,"2545, 2406",1319,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,3.1,12,,70,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,early 18c?,"nice diaper trellis border; exterior, handles of rickshaw; prob. from a carinated cup; same or matching vessel to #2545; Kangxi?",FALSE,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters,691,691,Wall,disorganized,FALSE,,
2795,1942,367,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.6,6,,120,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,hatched trellis border; saucer?,FALSE,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters,691,691,Wall,disorganized,FALSE,,
2796,1942,367,,,,1211,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,2,1,FALSE,3.3,7,,90,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,"diaper trellis border, ?floral reserve",FALSE,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters,691,691,Wall,disorganized,FALSE,,
2797,2274,512,,,,1183,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.5,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,"rim, prob saucer; hatched trellis border",FALSE,S5.4,1780-1800,1780,1800,1780-1810,Pantry/Study & Library,443,443,Wall,disturbed,FALSE,,
2798,1416,281,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,1,,,,,Uncertain,,,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,body,FALSE,MB.2,1830-1850,1830,1850,1810-1870,Midden Zone B,1081,1081,Slopewash,in situ,FALSE,,
2799,1416,281,,,2921,,5,asian porcelain,,Porcelain,POR,bowl,tableware,wet food,3,1,FALSE,1.7,,,,,Decorated,polychrome,Enamelled,,En grisaille,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,?1765-1795,"rim and body, poss large bowl; rim: wavy band border over 3 dots and gilt overlay; body: floral sprigs with gilt overlay",FALSE,MB.2,1830-1850,1830,1850,1810-1870,Midden Zone B,1081,1081,Slopewash,in situ,FALSE,,
2800,2668,560,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,2.8,,15,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,base of cup,FALSE,MC.1,1650-1700,1650,1700,1630-1720,Midden Zone C,634,364,Midden,in situ,FALSE,,
2801,2310,345,,,,46,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,1.1,7,,110,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,hatched trellis border,FALSE,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters,691,691,Wall,disorganized,FALSE,,
2802,2310,345,,,,,,asian porcelain,,Porcelain,POR,,,,2,,TRUE,1.8,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,"body sherds, 2 different vessels",FALSE,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters,691,691,Wall,disorganized,FALSE,,
2803,1926,309,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,2,1,FALSE,1.6,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,"diaper trellis border; dark blue palette, poss early 18 c.",FALSE,S9.1,1740-1800,1740,1800,1750-1810,Living Quarters,1100,1100,Floor,in situ,FALSE,,
2804,1926,309,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.1,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,thin vessel - cup/saucer; rim with hatched trellis border,FALSE,S9.1,1740-1800,1740,1800,1750-1810,Living Quarters,1100,1100,Floor,in situ,FALSE,,
2805,1432,1,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,1.2,7,,130,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2806,1432,1,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,2.1,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1710-1855,thick sherd - bowl/pot? Pavilion landscape,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2807,1432,1,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.7,,,,,Decorated,blue,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,18 c,base of saucer/plate,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2808,27,12,,,,,,asian porcelain,,Porcelain,POR,,,,3,1,FALSE,3,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,"2 thick body sherds, 1 base - bowl?",FALSE,T1.2,1984-1986,1984,1986,1960-1990,Guðmundur Ólafsson Excavation,823,7,Excavation,in situ,FALSE,,
2809,94,96,,,,,,asian porcelain,,Porcelain,POR,,,,4,1,FALSE,2.6,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"body sherds, poss cup; Kangxi?",FALSE,S4.6,1890,1890,1890,1870-1900,Pantry/Kitchen,300,300,External area,disturbed,FALSE,,
2810,14,95,,,2918,1320,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,7,1,FALSE,8.5,15,,90,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"rim & body sherds; yin-yang motif, Kangxi?",TRUE,S20.4,1750-1770,1750,1770,1750-1780,School Dormitory,80,80,Floor,in situ,FALSE,,
2811,1460,310,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.9,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"body sherd, prob Asian",FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,in situ,FALSE,,
2812,1089,171,,,,1135,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,1.4,,,,,Decorated,,Enamelled,,En grisaille,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,?1730-1805,"body sherd with wavy line and edge of leaf - prob Asian, prob EG",FALSE,S4.5,1840-1890,1840,1890,1840-1900,Pantry/Kitchen,300,300,Floor,in situ,FALSE,,
2813,1074,170,,,,1213,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.2,,,,,Decorated,polychrome,Enamelled,,Imari,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1695-1795,rim of cup/saucer with blue band and red diaper trellis border over; on Batavian,FALSE,S11.4,1740,1740,1740,1720-1750,Priests Living Quarters,421,421,Roof,disorganized,FALSE,,
2814,1299,240,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,2,1,FALSE,3.6,5,,120,,Decorated,red,Enamelled,,Rouge-de-fer,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1740,rim with scroll border on batavian,FALSE,S9.1,1740-1800,1740,1800,1750-1810,Living Quarters,1100,1100,Floor,in situ,FALSE,,
2815,1083,1,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,2,1,FALSE,2.2,8,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,single band border with floral ?reserve; Kangxi?,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2816,1083,1,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.4,,,,,Uncertain,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,plain rim - cup/saucer; prob Asian,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2817,1083,1,,,,31,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,1.7,5,,100,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,rim with trigram on outside (gen); Kangxi?,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2818,1133,172,,,,1020,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,1.3,4,,140,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border,FALSE,S10.4,1800-1880,1800,1880,1780-1900,Kitchen,1101,1101,Wall,disorganized,FALSE,,
2819,1056,166,,,,7,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,3.8,6,,100,,Decorated,blue,Hand painted,Floral,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1750,diaper trellis border with prob flroal reserve,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2820,1056,166,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,1.1,7,,140,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1750,"hatched trellis border, probably panelled floral reserve",FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2821,1056,166,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,2.6,13,,90,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2822,1056,166,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,31,13,,90,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2823,1056,166,,,,23,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,1.9,8,,110,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1750,"diaper trellis border, over prob floral reserve; large cup/bowl",FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2824,1056,166,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,1.5,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border; saucer?,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2825,1056,166,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,3.7,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,base with floral motif; cup/saucer,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2826,1056,166,,,,36,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,0.7,4,,110,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,hatched trellis border,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2827,1014,1,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,3.1,,,,,Uncertain,,,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,body,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2828,1014,1,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,2.7,8,,90,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2829,1014,1,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,2,1,FALSE,2.9,10,,130,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,hatched trellis border,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2830,1014,1,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,4,1,FALSE,4.2,,14,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,floral; prob all same vessel,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2831,1014,1,,,,,,unsourced porcelain,,Porcelain,POR,saucer,tableware,hot drink,2,2,FALSE,5.3,10,,,,Decorated,blue,Hand painted,Floral,Mussel,FALSE,Press-moulded,fluted,FALSE,FALSE,FALSE,FALSE,,FALSE,1775+,2 different vessels; prob Copenhagen,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2832,1030,1,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,2,,,,,Decorated,polychrome,Enamelled,,Famille Verte,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1730,"base with floral, on batavian",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2833,860,139,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.8,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1750,rim of cup/saucer - prob panelled floral reserve; Kangxi,FALSE,S30.3,1740-1750,1740,1750,1720-1750,School Master's House,127,127,Floor,in situ,FALSE,,
2834,1520,303,,,,952,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,3,1,FALSE,7.7,24,,80,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1710-1795,diaper trellis border with probable pavilion landscape,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2835,1520,303,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,3,1,FALSE,2,5,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1750,hatched trellis border and panelled floral reserve,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2836,1520,303,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.2,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,rim of cup/saucer with diaper trellis border,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2837,1520,303,,,,,,asian porcelain,,Porcelain,POR,,,,3,,TRUE,1.1,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,tiny sherds,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2838,1520,303,,,,,,asian porcelain,,Porcelain,POR,,,,2,,TRUE,0.5,,,,,Decorated,blue,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,small body/base sherds,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2839,1520,303,,,,957,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.2,,,,,Decorated,red,Enamelled,,Rouge-de-fer,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1740,rim of thin cup/saucer with band and scallop border,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2840,1520,303,,,,954,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.2,,,,,Decorated,polychrome,Enamelled,,Famille Verte,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1680-1730,small base sherd with purple red flower - prob FV,FALSE,S8.3,1800-1850,1800,1850,1780-1870,Nursery/Private Chambers,1227,39,Floor,disorganized,FALSE,,
2841,2110,437,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,4,1,FALSE,4.7,8,,140,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border,FALSE,S4.3,1780-1800,1780,1800,1780-1810,Lodge/Dining Room & Chambers,757,989,Fireplace,in situ,FALSE,,
2842,1014,1,,,,,,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,2,1,FALSE,5.22,,8,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,TRUE,,FALSE,1750-1855,base - mid-late pavilion landscape,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2843,1014,1,,,,,,unsourced porcelain,,Porcelain,POR,,,,1,,TRUE,1.2,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body - cup/bowl prob,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2844,1014,1,,,,,,asian porcelain,,Porcelain,POR,,,,1,1,FALSE,0.8,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border; prob cup/saucer,FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2845,1014,1,,,2888,,42,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,1.1,8,,80,,Decorated,red,Enamelled,,Rouge-de-fer,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1740,"rim with scroll border, gilt; on batavian",FALSE,LH,1958,1958,1958,1930-1960,Levelling Horizon,752,752,Demolition,disorganized,FALSE,,
2846,1191,177,,2402,,,45,asian porcelain,,Porcelain,POR,saucer,tableware,hot drink,1,1,FALSE,5.3,,12,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1700-1775,willow tree - refits with #2402,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2847,1191,177,,,,,,asian porcelain,,Porcelain,POR,,,,2,1,FALSE,1,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1690-1795,diaper trellis border with floral pattern; cup/saucer,FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2848,1191,177,,,,,,asian porcelain,,Porcelain,POR,,,,2,,TRUE,1.8,,,,,Uncertain,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"2 different vessels, body sherds",FALSE,S9.2,1800-1880,1800,1880,1780-1900,Living Quarters,1100,1100,Wall,disorganized,FALSE,,
2849,87,90,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.5,,,,,Uncertain,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body sherd,FALSE,S8.2,1750-1800,1750,1800,1750-1810,Nursery/Private Chambers,1133,39,Floor,in situ,FALSE,,
2850,1,85,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.7,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,"lower body, flowers on terrace?",FALSE,S21.5,1790,1790,1790,1780-1810,School Room,81,81,Floor,in situ,FALSE,,
2851,88,90,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.7,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,body,FALSE,S8.2,1750-1800,1750,1800,1750-1810,Nursery/Private Chambers,1133,39,Floor,in situ,FALSE,,
2852,89,91,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.6,,,,,Decorated,blue,Hand painted,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,base of plate/saucer?,FALSE,S13.4,1830-1850,1830,1850,1810-1870,Silo/Midden,30,30,Wall,disorganized,FALSE,,
2853,59,49,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.4,,,,,Uncertain,,,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,body,FALSE,S8.4,1850,1850,1850,1840-1870,Nursery/Private Chambers,39,39,Wall,disorganized,FALSE,,
2854,66,64,,,,,,asian porcelain,,Porcelain,POR,cup,tableware,hot drink,1,1,FALSE,2.1,,,,,Decorated,blue,Hand painted,,Blue & White,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,"double band interior, floral exterior - Kangxi?",FALSE,S33.1,1880-1952,1880,1952,1870-1960,Eastern Farm/Byre,81,81,Wall,in situ,FALSE,,
2855,86,88,,,,,,asian porcelain,,Porcelain,POR,,,,1,,TRUE,0.7,,,,,Decorated,blue,Hand painted,,Batavian,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,1685-1795,body,FALSE,S21.5,1790,1790,1790,1780-1810,School Room,81,81,Floor,in situ,FALSE,,
2856,86,88,,,,,,unsourced porcelain,,Porcelain,POR,,,,2,,TRUE,,,,,,Uncertain,,,,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,,body sherds - Asian?,FALSE,S21.5,1790,1790,1790,1780-1810,School Room,81,81,Floor,in situ,FALSE,,
